"Statistic","CensusYear","Sex","Travelling Time","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","163"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","06:30 - 07:00","Students at school or college aged 19 years and over","Number","830"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","07:01 - 07:30","All persons","Number","5306"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","07:01 - 07:30","Population aged 15 years and over at work","Number","4002"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","63"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","271"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","07:01 - 07:30","Students at school or college aged 19 years and over","Number","970"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","07:31 - 08:00","All persons","Number","3493"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","07:31 - 08:00","Population aged 15 years and over at work","Number","2545"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","80"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","211"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","07:31 - 08:00","Students at school or college aged 19 years and over","Number","657"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","08:01 - 08:30","All persons","Number","2026"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","08:01 - 08:30","Population aged 15 years and over at work","Number","1434"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","91"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","111"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","08:01 - 08:30","Students at school or college aged 19 years and over","Number","390"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","08:31 - 09:00","All persons","Number","1144"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","08:31 - 09:00","Population aged 15 years and over at work","Number","747"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","75"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","62"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","08:31 - 09:00","Students at school or college aged 19 years and over","Number","260"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","09:01 - 09:30","All persons","Number","581"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","09:01 - 09:30","Population aged 15 years and over at work","Number","382"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","39"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","27"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","09:01 - 09:30","Students at school or college aged 19 years and over","Number","133"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","After 09:30","All persons","Number","1995"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","After 09:30","Population aged 15 years and over at work","Number","1582"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","After 09:30","Children at school aged between 5 and 12 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","After 09:30","Students at school or college aged between 13 and 18 years","Number","55"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","After 09:30","Students at school or college aged 19 years and over","Number","355"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","Not stated","All persons","Number","244"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","Not stated","Population aged 15 years and over at work","Number","177"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","Not stated","Children at school aged between 5 and 12 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","Not stated","Students at school or college aged between 13 and 18 years","Number","13"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","1½ hours and over","Not stated","Students at school or college aged 19 years and over","Number","52"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","All departure times","All persons","Number","101398"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","All departure times","Population aged 15 years and over at work","Number","75879"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","All departure times","Children at school aged between 5 and 12 years","Number","12918"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","All departure times","Students at school or college aged between 13 and 18 years","Number","6769"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","All departure times","Students at school or college aged 19 years and over","Number","5832"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","Before 06:30","All persons","Number","4354"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","Before 06:30","Population aged 15 years and over at work","Number","4280"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","Before 06:30","Children at school aged between 5 and 12 years","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","Before 06:30","Students at school or college aged between 13 and 18 years","Number","20"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","Before 06:30","Students at school or college aged 19 years and over","Number","47"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","06:30 - 07:00","All persons","Number","4565"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","06:30 - 07:00","Population aged 15 years and over at work","Number","4383"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","43"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","06:30 - 07:00","Students at school or college aged 19 years and over","Number","114"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","07:01 - 07:30","All persons","Number","5235"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","07:01 - 07:30","Population aged 15 years and over at work","Number","4764"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","102"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","189"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","07:01 - 07:30","Students at school or college aged 19 years and over","Number","180"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","07:31 - 08:00","All persons","Number","7680"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","07:31 - 08:00","Population aged 15 years and over at work","Number","6315"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","304"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","740"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","07:31 - 08:00","Students at school or college aged 19 years and over","Number","321"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","08:01 - 08:30","All persons","Number","8582"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","08:01 - 08:30","Population aged 15 years and over at work","Number","5321"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","1323"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","1446"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","08:01 - 08:30","Students at school or college aged 19 years and over","Number","492"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","08:31 - 09:00","All persons","Number","7947"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","08:31 - 09:00","Population aged 15 years and over at work","Number","3930"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","2524"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","974"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","08:31 - 09:00","Students at school or college aged 19 years and over","Number","519"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","09:01 - 09:30","All persons","Number","3934"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","09:01 - 09:30","Population aged 15 years and over at work","Number","2363"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","1170"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","125"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","09:01 - 09:30","Students at school or college aged 19 years and over","Number","276"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","After 09:30","All persons","Number","5474"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","After 09:30","Population aged 15 years and over at work","Number","5144"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","After 09:30","Children at school aged between 5 and 12 years","Number","26"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","After 09:30","Students at school or college aged between 13 and 18 years","Number","36"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","After 09:30","Students at school or college aged 19 years and over","Number","268"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","Not stated","All persons","Number","53627"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","Not stated","Population aged 15 years and over at work","Number","39379"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","Not stated","Children at school aged between 5 and 12 years","Number","7437"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","Not stated","Students at school or college aged between 13 and 18 years","Number","3196"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Not stated","Not stated","Students at school or college aged 19 years and over","Number","3615"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","All departure times","All persons","Number","1316751"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","All departure times","Population aged 15 years and over at work","Number","815177"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","All departure times","Children at school aged between 5 and 12 years","Number","244623"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","All departure times","Students at school or college aged between 13 and 18 years","Number","158287"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","All departure times","Students at school or college aged 19 years and over","Number","98664"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","Before 06:30","All persons","Number","33630"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","Before 06:30","Population aged 15 years and over at work","Number","32372"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","Before 06:30","Children at school aged between 5 and 12 years","Number","113"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","Before 06:30","Students at school or college aged between 13 and 18 years","Number","183"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","Before 06:30","Students at school or college aged 19 years and over","Number","962"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","06:30 - 07:00","All persons","Number","59903"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","06:30 - 07:00","Population aged 15 years and over at work","Number","55456"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","385"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","922"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","06:30 - 07:00","Students at school or college aged 19 years and over","Number","3140"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","07:01 - 07:30","All persons","Number","97199"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","07:01 - 07:30","Population aged 15 years and over at work","Number","83426"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","1748"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","5792"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","07:01 - 07:30","Students at school or college aged 19 years and over","Number","6233"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","07:31 - 08:00","All persons","Number","180323"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","07:31 - 08:00","Population aged 15 years and over at work","Number","128225"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","8321"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","31258"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","07:31 - 08:00","Students at school or college aged 19 years and over","Number","12519"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","08:01 - 08:30","All persons","Number","293356"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","08:01 - 08:30","Population aged 15 years and over at work","Number","160923"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","46573"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","65319"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","08:01 - 08:30","Students at school or college aged 19 years and over","Number","20541"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","08:31 - 09:00","All persons","Number","349781"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","08:31 - 09:00","Population aged 15 years and over at work","Number","156875"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","119042"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","47118"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","08:31 - 09:00","Students at school or college aged 19 years and over","Number","26746"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","09:01 - 09:30","All persons","Number","142823"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","09:01 - 09:30","Population aged 15 years and over at work","Number","67640"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","60073"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","3607"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","09:01 - 09:30","Students at school or college aged 19 years and over","Number","11503"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","After 09:30","All persons","Number","111497"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","After 09:30","Population aged 15 years and over at work","Number","96448"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","After 09:30","Children at school aged between 5 and 12 years","Number","367"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","After 09:30","Students at school or college aged between 13 and 18 years","Number","1358"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","After 09:30","Students at school or college aged 19 years and over","Number","13324"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","Not stated","All persons","Number","48239"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","Not stated","Population aged 15 years and over at work","Number","33812"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","Not stated","Children at school aged between 5 and 12 years","Number","8001"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","Not stated","Students at school or college aged between 13 and 18 years","Number","2730"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","Total time travelling","Not stated","Students at school or college aged 19 years and over","Number","3696"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","All departure times","All persons","Number","460417"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","All departure times","Population aged 15 years and over at work","Number","218141"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","All departure times","Children at school aged between 5 and 12 years","Number","160967"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","All departure times","Students at school or college aged between 13 and 18 years","Number","58986"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","All departure times","Students at school or college aged 19 years and over","Number","22323"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","Before 06:30","All persons","Number","6548"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","Before 06:30","Population aged 15 years and over at work","Number","6419"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","Before 06:30","Children at school aged between 5 and 12 years","Number","45"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","Before 06:30","Students at school or college aged between 13 and 18 years","Number","29"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","Before 06:30","Students at school or college aged 19 years and over","Number","55"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","06:30 - 07:00","All persons","Number","10487"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","06:30 - 07:00","Population aged 15 years and over at work","Number","10245"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","70"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","26"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","06:30 - 07:00","Students at school or college aged 19 years and over","Number","146"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","07:01 - 07:30","All persons","Number","13226"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","07:01 - 07:30","Population aged 15 years and over at work","Number","12308"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","411"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","241"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","07:01 - 07:30","Students at school or college aged 19 years and over","Number","266"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","07:31 - 08:00","All persons","Number","32557"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","07:31 - 08:00","Population aged 15 years and over at work","Number","27013"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","2022"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","2866"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","07:31 - 08:00","Students at school or college aged 19 years and over","Number","656"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","08:01 - 08:30","All persons","Number","72255"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","08:01 - 08:30","Population aged 15 years and over at work","Number","30061"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","19252"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","20742"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","08:01 - 08:30","Students at school or college aged 19 years and over","Number","2200"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","08:31 - 09:00","All persons","Number","188689"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","08:31 - 09:00","Population aged 15 years and over at work","Number","61049"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","85179"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","32035"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","08:31 - 09:00","Students at school or college aged 19 years and over","Number","10426"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","09:01 - 09:30","All persons","Number","88823"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","09:01 - 09:30","Population aged 15 years and over at work","Number","29152"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","53066"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","2337"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","09:01 - 09:30","Students at school or college aged 19 years and over","Number","4268"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","After 09:30","All persons","Number","45337"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","After 09:30","Population aged 15 years and over at work","Number","40342"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","After 09:30","Children at school aged between 5 and 12 years","Number","258"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","After 09:30","Students at school or college aged between 13 and 18 years","Number","536"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","After 09:30","Students at school or college aged 19 years and over","Number","4201"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","Not stated","All persons","Number","2495"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","Not stated","Population aged 15 years and over at work","Number","1552"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","Not stated","Children at school aged between 5 and 12 years","Number","664"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","Not stated","Students at school or college aged between 13 and 18 years","Number","174"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","< ¼ hour","Not stated","Students at school or college aged 19 years and over","Number","105"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","All departure times","All persons","Number","414020"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","All departure times","Population aged 15 years and over at work","Number","268111"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","All departure times","Children at school aged between 5 and 12 years","Number","57370"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","All departure times","Students at school or college aged between 13 and 18 years","Number","60268"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","All departure times","Students at school or college aged 19 years and over","Number","28271"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","Before 06:30","All persons","Number","9050"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","Before 06:30","Population aged 15 years and over at work","Number","8862"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","Before 06:30","Children at school aged between 5 and 12 years","Number","13"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","Before 06:30","Students at school or college aged between 13 and 18 years","Number","38"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","Before 06:30","Students at school or college aged 19 years and over","Number","137"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","06:30 - 07:00","All persons","Number","15317"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","06:30 - 07:00","Population aged 15 years and over at work","Number","14695"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","119"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","130"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","06:30 - 07:00","Students at school or college aged 19 years and over","Number","373"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","07:01 - 07:30","All persons","Number","27311"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","07:01 - 07:30","Population aged 15 years and over at work","Number","24880"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","491"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","1282"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","07:01 - 07:30","Students at school or college aged 19 years and over","Number","658"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","07:31 - 08:00","All persons","Number","56131"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","07:31 - 08:00","Population aged 15 years and over at work","Number","38213"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","3078"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Female","¼ hour - < ½ hour","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","12813"
