"Statistic","CensusYear","Towns with a Population of over 1,500","UNIT","VALUE"
"Persons working outside the town of usual residence (C)","2016","Portlaoise","Number","3209"
"Persons working outside the town of usual residence (C)","2016","Mullingar","Number","2808"
"Persons working outside the town of usual residence (C)","2016","Wexford","Number","1695"
"Persons working outside the town of usual residence (C)","2016","Balbriggan","Number","5335"
"Persons working outside the town of usual residence (C)","2016","Letterkenny","Number","1704"
"Persons working outside the town of usual residence (C)","2016","Celbridge","Number","6855"
"Persons working outside the town of usual residence (C)","2016","Sligo","Number","1272"
"Persons working outside the town of usual residence (C)","2016","Clonmel","Number","2533"
"Persons working outside the town of usual residence (C)","2016","Greystones","Number","5377"
"Persons working outside the town of usual residence (C)","2016","Malahide","Number","5355"
"Persons working outside the town of usual residence (C)","2016","Leixlip","Number","5066"
"Persons working outside the town of usual residence (C)","2016","Carrigaline","Number","5068"
"Persons working outside the town of usual residence (C)","2016","Tullamore","Number","1656"
"Persons working outside the town of usual residence (C)","2016","Killarney","Number","1584"
"Persons working outside the town of usual residence (C)","2016","Arklow","Number","2202"
"Persons working outside the town of usual residence (C)","2016","Maynooth","Number","4229"
"Persons working outside the town of usual residence (C)","2016","Cobh","Number","3330"
"Persons working outside the town of usual residence (C)","2016","Castlebar","Number","1312"
"Persons working outside the town of usual residence (C)","2016","Midleton","Number","2962"
"Persons working outside the town of usual residence (C)","2016","Mallow","Number","2403"
"Persons working outside the town of usual residence (C)","2016","Ashbourne","Number","4166"
"Persons working outside the town of usual residence (C)","2016","Ballina","Number","1179"
"Persons working outside the town of usual residence (C)","2016","Laytown-Bettystown-Mornington","Number","3370"
"Persons working outside the town of usual residence (C)","2016","Enniscorthy","Number","1546"
"Persons working outside the town of usual residence (C)","2016","Wicklow","Number","2435"
"Persons working outside the town of usual residence (C)","2016","Tramore","Number","2348"
"Persons working outside the town of usual residence (C)","2016","Cavan","Number","1565"
"Persons working outside the town of usual residence (C)","2016","Athy","Number","1531"
"Persons working outside the town of usual residence (C)","2016","Shannon","Number","2219"
"Persons working outside the town of usual residence (C)","2016","Skerries","Number","2890"
"Persons working outside the town of usual residence (C)","2016","Longford","Number","1036"
"Persons working outside the town of usual residence (C)","2016","Dungarvan","Number","1315"
"Persons working outside the town of usual residence (C)","2016","Portmarnock","Number","3089"
"Persons working outside the town of usual residence (C)","2016","Rush","Number","2917"
"Persons working outside the town of usual residence (C)","2016","Gorey","Number","1626"
"Persons working outside the town of usual residence (C)","2016","Ratoath","Number","3193"
"Persons working outside the town of usual residence (C)","2016","Nenagh","Number","1219"
"Persons working outside the town of usual residence (C)","2016","Trim","Number","2113"
"Persons working outside the town of usual residence (C)","2016","Tuam","Number","1401"
"Persons working outside the town of usual residence (C)","2016","New Ross","Number","1087"
"Persons working outside the town of usual residence (C)","2016","Kildare","Number","2105"
"Persons working outside the town of usual residence (C)","2016","Thurles","Number","1063"
"Persons working outside the town of usual residence (C)","2016","Youghal","Number","1276"
"Persons working outside the town of usual residence (C)","2016","Portarlington","Number","1884"
"Persons working outside the town of usual residence (C)","2016","Monaghan","Number","1458"
"Persons working outside the town of usual residence (C)","2016","Lusk","Number","2671"
"Persons working outside the town of usual residence (C)","2016","Edenderry","Number","1287"
"Persons working outside the town of usual residence (C)","2016","Dunboyne","Number","2356"
"Persons working outside the town of usual residence (C)","2016","Buncrana","Number","785"
"Persons working outside the town of usual residence (C)","2016","Donabate","Number","2585"
"Persons working outside the town of usual residence (C)","2016","Clane","Number","2377"
"Persons working outside the town of usual residence (C)","2016","Ballinasloe","Number","775"
"Persons working outside the town of usual residence (C)","2016","Bandon","Number","1506"
"Persons working outside the town of usual residence (C)","2016","Fermoy","Number","1490"
"Persons working outside the town of usual residence (C)","2016","Newcastle West","Number","1326"
"Persons working outside the town of usual residence (C)","2016","Westport","Number","675"
"Persons working outside the town of usual residence (C)","2016","Carrick-on-Suir","Number","884"
"Persons working outside the town of usual residence (C)","2016","Kells (Ceanannas)","Number","1403"
"Persons working outside the town of usual residence (C)","2016","Birr","Number","660"
"Persons working outside the town of usual residence (C)","2016","Kinsealy-Drinan","Number","2816"
"Persons working outside the town of usual residence (C)","2016","Passage West","Number","1918"
"Persons working outside the town of usual residence (C)","2016","Roscommon","Number","755"
"Persons working outside the town of usual residence (C)","2016","Kilcock","Number","2143"
"Persons working outside the town of usual residence (C)","2016","Roscrea","Number","824"
"Persons working outside the town of usual residence (C)","2016","Tipperary","Number","577"
"Persons working outside the town of usual residence (C)","2016","Sallins","Number","2235"
"Persons working outside the town of usual residence (C)","2016","Loughrea","Number","1090"
"Persons working outside the town of usual residence (C)","2016","Blessington","Number","1567"
"Persons working outside the town of usual residence (C)","2016","Ardee","Number","939"
"Persons working outside the town of usual residence (C)","2016","Carrickmacross","Number","949"
"Persons working outside the town of usual residence (C)","2016","Kinsale","Number","936"
"Persons working outside the town of usual residence (C)","2016","Ballybofey-Stranorlar","Number","650"
"Persons working outside the town of usual residence (C)","2016","Listowel","Number","594"
"Persons working outside the town of usual residence (C)","2016","Oranmore","Number","2007"
"Persons working outside the town of usual residence (C)","2016","Mountmellick","Number","873"
"Persons working outside the town of usual residence (C)","2016","Clonakilty","Number","750"
"Persons working outside the town of usual residence (C)","2016","Carrigtwohill","Number","1818"
"Persons working outside the town of usual residence (C)","2016","Cashel","Number","779"
"Persons working outside the town of usual residence (C)","2016","Kilcoole","Number","1326"
"Persons working outside the town of usual residence (C)","2016","Duleek","Number","1101"
"Persons working outside the town of usual residence (C)","2016","Carrick-on-Shannon","Number","544"
"Persons working outside the town of usual residence (C)","2016","Tullow","Number","932"
"Persons working outside the town of usual residence (C)","2016","Athenry","Number","1233"
"Persons working outside the town of usual residence (C)","2016","Dunshaughlin","Number","1296"
"Persons working outside the town of usual residence (C)","2016","Macroom","Number","768"
"Persons working outside the town of usual residence (C)","2016","Monasterevin","Number","980"
"Persons working outside the town of usual residence (C)","2016","Mitchelstown","Number","653"
"Persons working outside the town of usual residence (C)","2016","Rathluirc (or Charleville)","Number","645"
"Persons working outside the town of usual residence (C)","2016","Castleblayney","Number","649"
"Persons working outside the town of usual residence (C)","2016","Cahir","Number","819"
"Persons working outside the town of usual residence (C)","2016","Kilcullen","Number","1103"
"Persons working outside the town of usual residence (C)","2016","Rathcoole","Number","1503"
"Persons working outside the town of usual residence (C)","2016","Claremorris","Number","870"
"Persons working outside the town of usual residence (C)","2016","Bantry","Number","281"
"Persons working outside the town of usual residence (C)","2016","Tower","Number","1101"
"Persons working outside the town of usual residence (C)","2016","Clara","Number","677"
"Persons working outside the town of usual residence (C)","2016","Stamullen","Number","1155"
"Persons working outside the town of usual residence (C)","2016","Kill","Number","1228"
"Persons working outside the town of usual residence (C)","2016","Rathnew","Number","860"
"Persons working outside the town of usual residence (C)","2016","Muinebeag","Number","441"
"Persons working outside the town of usual residence (C)","2016","Enfield","Number","1038"
"Persons working outside the town of usual residence (C)","2016","Courtown Harbour","Number","727"
"Persons working outside the town of usual residence (C)","2016","Annacotty","Number","1078"
"Persons working outside the town of usual residence (C)","2016","Moate","Number","725"
"Persons working outside the town of usual residence (C)","2016","Ballinrobe","Number","599"
"Persons working outside the town of usual residence (C)","2016","Kilrush","Number","245"
"Persons working outside the town of usual residence (C)","2016","Skibbereen","Number","328"
"Persons working outside the town of usual residence (C)","2016","Kinnegad","Number","691"
"Persons working outside the town of usual residence (C)","2016","Newcastle","Number","1061"
"Persons working outside the town of usual residence (C)","2016","Gort","Number","512"
"Persons working outside the town of usual residence (C)","2016","Donegal","Number","380"
"Persons working outside the town of usual residence (C)","2016","Boyle","Number","335"
"Persons working outside the town of usual residence (C)","2016","Ballyjamesduff","Number","637"
"Persons working outside the town of usual residence (C)","2016","Carndonagh","Number","276"
"Persons working outside the town of usual residence (C)","2016","Bailieborough","Number","486"
"Persons working outside the town of usual residence (C)","2016","Castleisland","Number","397"
"Persons working outside the town of usual residence (C)","2016","Sixmilebridge","Number","884"
"Persons working outside the town of usual residence (C)","2016","Ballyshannon","Number","304"
"Persons working outside the town of usual residence (C)","2016","Ballina (North Tipperary)","Number","772"
"Persons working outside the town of usual residence (C)","2016","Blarney","Number","724"
"Persons working outside the town of usual residence (C)","2016","Newtownmountkennedy","Number","781"
"Persons working outside the town of usual residence (C)","2016","Athboy","Number","613"
"Persons working outside the town of usual residence (C)","2016","Rathangan","Number","704"
"Persons working outside the town of usual residence (C)","2016","Callan","Number","529"
"Persons working outside the town of usual residence (C)","2016","Kingscourt","Number","594"
"Persons working outside the town of usual residence (C)","2016","Ballyhaunis","Number","298"
"Persons working outside the town of usual residence (C)","2016","Virginia","Number","623"
"Persons working outside the town of usual residence (C)","2016","Thomastown","Number","570"
"Persons working outside the town of usual residence (C)","2016","Kanturk","Number","534"
"Persons working outside the town of usual residence (C)","2016","Prosperous","Number","619"
"Persons working outside the town of usual residence (C)","2016","Kenmare","Number","274"
"Persons working outside the town of usual residence (C)","2016","Saggart","Number","1223"
"Persons working outside the town of usual residence (C)","2016","Bundoran","Number","276"
"Persons working outside the town of usual residence (C)","2016","Cootehill","Number","374"
"Persons working outside the town of usual residence (C)","2016","Crosshaven","Number","715"
"Persons working outside the town of usual residence (C)","2016","Killorglin","Number","331"
"Persons working outside the town of usual residence (C)","2016","Templemore","Number","257"
"Persons working outside the town of usual residence (C)","2016","Baltinglass","Number","411"
"Persons working outside the town of usual residence (C)","2016","Clifden","Number","97"
"Persons working outside the town of usual residence (C)","2016","Bunclody-Carrickduff","Number","323"
"Persons working outside the town of usual residence (C)","2016","Abbeyfeale","Number","255"
"Persons working outside the town of usual residence (C)","2016","Clogherhead","Number","589"
"Persons working outside the town of usual residence (C)","2016","Castlerea","Number","274"
"Persons working outside the town of usual residence (C)","2016","An Daingean","Number","124"
"Persons working outside the town of usual residence (C)","2016","Castleconnell","Number","612"
"Persons working outside the town of usual residence (C)","2016","Bearna","Number","642"
"Persons working outside the town of usual residence (C)","2016","Balrothery","Number","674"
"Persons working outside the town of usual residence (C)","2016","Abbeyleix","Number","367"
"Persons working outside the town of usual residence (C)","2016","Ballaghaderreen","Number","439"
"Persons working outside the town of usual residence (C)","2016","Enniskerry","Number","499"
"Persons working outside the town of usual residence (C)","2016","Newport","Number","568"
"Persons working outside the town of usual residence (C)","2016","Dunleer","Number","458"
"Persons working outside the town of usual residence (C)","2016","Newmarket-on-Fergus","Number","585"
"Persons working outside the town of usual residence (C)","2016","Clones","Number","274"
"Persons working outside the town of usual residence (C)","2016","Tubbercurry","Number","363"
"Persons working outside the town of usual residence (C)","2016","Edgeworthstown","Number","301"
"Persons working outside the town of usual residence (C)","2016","Ballivor","Number","428"
"Persons working outside the town of usual residence (C)","2016","Castlebridge","Number","566"
"Persons working outside the town of usual residence (C)","2016","Portlaw","Number","437"
"Persons working outside the town of usual residence (C)","2016","Mountrath","Number","309"
"Persons working outside the town of usual residence (C)","2016","Lifford","Number","231"
"Persons working outside the town of usual residence (C)","2016","Banagher","Number","316"
"Persons working outside the town of usual residence (C)","2016","Kilmallock","Number","242"
"Persons working outside the town of usual residence (C)","2016","Strandhill","Number","569"
"Persons working outside the town of usual residence (C)","2016","Rathdrum","Number","301"
"Persons working outside the town of usual residence (C)","2016","Dunmanway","Number","268"
"Persons working outside the town of usual residence (C)","2016","Millstreet","Number","385"
"Persons working outside the town of usual residence (C)","2016","Ballymahon","Number","416"
"Persons working outside the town of usual residence (C)","2016","Cloyne","Number","547"
"Persons working outside the town of usual residence (C)","2016","Dunmore East","Number","209"
"Persons working outside the town of usual residence (C)","2016","Moycullen","Number","507"
"Persons working outside the town of usual residence (C)","2016","Rosslare","Number","255"
"Persons working outside the town of usual residence (C)","2016","Derrinturn","Number","404"
"Persons working outside the town of usual residence (C)","2016","Fethard","Number","317"
"Persons working outside the town of usual residence (C)","2016","Ballymote","Number","305"
"Persons working outside the town of usual residence (C)","2016","Rathcormac","Number","623"
"Persons working outside the town of usual residence (C)","2016","Collooney","Number","442"
"Persons working outside the town of usual residence (C)","2016","Castlemartyr","Number","484"
"Persons working outside the town of usual residence (C)","2016","Tullyallen","Number","519"
"Persons working outside the town of usual residence (C)","2016","Longwood","Number","509"
"Persons working outside the town of usual residence (C)","2016","Termonfeckin","Number","452"
"Persons working outside the town of usual residence (C)","2016","Convoy","Number","300"
"Persons working outside the town of usual residence (C)","2016","Castlecomer-Donaguile","Number","301"
"Persons commuting into the town to work (D)","2016","Dublin City and suburbs","Number","130447"
"Persons commuting into the town to work (D)","2016","Cork City and suburbs","Number","41433"
"Persons commuting into the town to work (D)","2016","Limerick City and suburbs","Number","22716"
"Persons commuting into the town to work (D)","2016","Galway City and suburbs","Number","22105"
"Persons commuting into the town to work (D)","2016","Waterford City and suburbs","Number","11274"
"Persons commuting into the town to work (D)","2016","Towns 1,500 population and over","Number","516836"
"Persons commuting into the town to work (D)","2016","Drogheda","Number","6144"
"Persons commuting into the town to work (D)","2016","Dundalk","Number","6077"
"Persons commuting into the town to work (D)","2016","Swords","Number","11210"
"Persons commuting into the town to work (D)","2016","Bray","Number","5074"
"Persons commuting into the town to work (D)","2016","Navan (An Uaimh)","Number","5074"
"Persons commuting into the town to work (D)","2016","Ennis","Number","5475"
"Persons commuting into the town to work (D)","2016","Kilkenny","Number","7828"
"Persons commuting into the town to work (D)","2016","Tralee","Number","7450"
"Persons commuting into the town to work (D)","2016","Carlow","Number","4396"
"Persons commuting into the town to work (D)","2016","Droichead Nua","Number","4030"
"Persons commuting into the town to work (D)","2016","Naas","Number","8115"
"Persons commuting into the town to work (D)","2016","Athlone","Number","8178"
"Persons commuting into the town to work (D)","2016","Portlaoise","Number","5228"
"Persons commuting into the town to work (D)","2016","Mullingar","Number","5049"
"Persons commuting into the town to work (D)","2016","Wexford","Number","7270"
"Persons commuting into the town to work (D)","2016","Balbriggan","Number","2038"
"Persons commuting into the town to work (D)","2016","Letterkenny","Number","6677"
"Persons commuting into the town to work (D)","2016","Celbridge","Number","1257"
"Persons commuting into the town to work (D)","2016","Sligo","Number","8632"
"Persons commuting into the town to work (D)","2016","Clonmel","Number","4016"
"Persons commuting into the town to work (D)","2016","Greystones","Number","1230"
"Persons commuting into the town to work (D)","2016","Malahide","Number","1325"
"Persons commuting into the town to work (D)","2016","Leixlip","Number","4842"
"Persons commuting into the town to work (D)","2016","Carrigaline","Number","920"
"Persons commuting into the town to work (D)","2016","Tullamore","Number","5603"
"Persons commuting into the town to work (D)","2016","Killarney","Number","4316"
"Persons commuting into the town to work (D)","2016","Arklow","Number","1393"
"Persons commuting into the town to work (D)","2016","Maynooth","Number","4000"
"Persons commuting into the town to work (D)","2016","Cobh","Number","454"
"Persons commuting into the town to work (D)","2016","Castlebar","Number","6417"
"Persons commuting into the town to work (D)","2016","Midleton","Number","2547"
"Persons commuting into the town to work (D)","2016","Mallow","Number","2314"
"Persons commuting into the town to work (D)","2016","Ashbourne","Number","1169"
"Persons commuting into the town to work (D)","2016","Ballina","Number","3022"
"Persons commuting into the town to work (D)","2016","Laytown-Bettystown-Mornington","Number","326"
"Persons commuting into the town to work (D)","2016","Enniscorthy","Number","2690"
"Persons commuting into the town to work (D)","2016","Wicklow","Number","1448"
"Persons commuting into the town to work (D)","2016","Tramore","Number","656"
"Persons commuting into the town to work (D)","2016","Cavan","Number","3804"
"Persons commuting into the town to work (D)","2016","Athy","Number","1242"
"Persons commuting into the town to work (D)","2016","Shannon","Number","3133"
"Persons commuting into the town to work (D)","2016","Skerries","Number","743"
"Persons commuting into the town to work (D)","2016","Longford","Number","3652"
"Persons commuting into the town to work (D)","2016","Dungarvan","Number","1881"
"Persons commuting into the town to work (D)","2016","Portmarnock","Number","553"
"Persons commuting into the town to work (D)","2016","Rush","Number","420"
"Persons commuting into the town to work (D)","2016","Gorey","Number","2156"
"Persons commuting into the town to work (D)","2016","Ratoath","Number","530"
"Persons commuting into the town to work (D)","2016","Nenagh","Number","2861"
"Persons commuting into the town to work (D)","2016","Trim","Number","1581"
"Persons commuting into the town to work (D)","2016","Tuam","Number","2467"
"Persons commuting into the town to work (D)","2016","New Ross","Number","1905"
"Persons commuting into the town to work (D)","2016","Kildare","Number","1464"
"Persons commuting into the town to work (D)","2016","Thurles","Number","2205"
"Persons commuting into the town to work (D)","2016","Youghal","Number","708"
"Persons commuting into the town to work (D)","2016","Portarlington","Number","771"
"Persons commuting into the town to work (D)","2016","Monaghan","Number","2553"
"Persons commuting into the town to work (D)","2016","Lusk","Number","306"
"Persons commuting into the town to work (D)","2016","Edenderry","Number","868"
"Persons commuting into the town to work (D)","2016","Dunboyne","Number","830"
"Persons commuting into the town to work (D)","2016","Buncrana","Number","961"
"Persons commuting into the town to work (D)","2016","Donabate","Number","422"
"Persons commuting into the town to work (D)","2016","Clane","Number","873"
"Persons commuting into the town to work (D)","2016","Ballinasloe","Number","2065"
"Persons commuting into the town to work (D)","2016","Bandon","Number","1486"
"Persons commuting into the town to work (D)","2016","Fermoy","Number","1486"
"Persons commuting into the town to work (D)","2016","Newcastle West","Number","1663"
"Persons commuting into the town to work (D)","2016","Westport","Number","2688"
"Persons commuting into the town to work (D)","2016","Carrick-on-Suir","Number","674"
"Persons commuting into the town to work (D)","2016","Kells (Ceanannas)","Number","1084"
"Persons commuting into the town to work (D)","2016","Birr","Number","970"
"Persons commuting into the town to work (D)","2016","Kinsealy-Drinan","Number","503"
"Persons commuting into the town to work (D)","2016","Passage West","Number","197"
"Persons commuting into the town to work (D)","2016","Roscommon","Number","2854"
"Persons commuting into the town to work (D)","2016","Kilcock","Number","566"
"Persons commuting into the town to work (D)","2016","Roscrea","Number","1116"
"Persons commuting into the town to work (D)","2016","Tipperary","Number","1426"
"Persons commuting into the town to work (D)","2016","Sallins","Number","276"
"Persons commuting into the town to work (D)","2016","Loughrea","Number","1499"
"Persons commuting into the town to work (D)","2016","Blessington","Number","663"
"Persons commuting into the town to work (D)","2016","Ardee","Number","1196"
"Persons commuting into the town to work (D)","2016","Carrickmacross","Number","1212"
"Persons commuting into the town to work (D)","2016","Kinsale","Number","960"
"Persons commuting into the town to work (D)","2016","Ballybofey-Stranorlar","Number","1253"
"Persons commuting into the town to work (D)","2016","Listowel","Number","1329"
"Persons commuting into the town to work (D)","2016","Oranmore","Number","849"
"Persons commuting into the town to work (D)","2016","Mountmellick","Number","570"
"Persons commuting into the town to work (D)","2016","Clonakilty","Number","1575"
"Persons commuting into the town to work (D)","2016","Carrigtwohill","Number","757"
"Persons commuting into the town to work (D)","2016","Cashel","Number","1199"
"Persons commuting into the town to work (D)","2016","Kilcoole","Number","713"
"Persons commuting into the town to work (D)","2016","Duleek","Number","344"
"Persons commuting into the town to work (D)","2016","Carrick-on-Shannon","Number","2051"
"Persons commuting into the town to work (D)","2016","Tullow","Number","764"
"Persons commuting into the town to work (D)","2016","Athenry","Number","1072"
"Persons commuting into the town to work (D)","2016","Dunshaughlin","Number","758"
"Persons commuting into the town to work (D)","2016","Macroom","Number","1052"
"Persons commuting into the town to work (D)","2016","Monasterevin","Number","694"
"Persons commuting into the town to work (D)","2016","Mitchelstown","Number","1006"
"Persons commuting into the town to work (D)","2016","Rathluirc (or Charleville)","Number","1723"
"Persons commuting into the town to work (D)","2016","Castleblayney","Number","1131"
"Persons commuting into the town to work (D)","2016","Cahir","Number","886"
"Persons commuting into the town to work (D)","2016","Kilcullen","Number","709"
"Persons commuting into the town to work (D)","2016","Rathcoole","Number","678"
"Persons commuting into the town to work (D)","2016","Claremorris","Number","961"
"Persons commuting into the town to work (D)","2016","Bantry","Number","1239"
"Persons commuting into the town to work (D)","2016","Tower","Number","197"
"Persons commuting into the town to work (D)","2016","Clara","Number","288"
"Persons commuting into the town to work (D)","2016","Stamullen","Number","317"
"Persons commuting into the town to work (D)","2016","Kill","Number","209"
"Persons commuting into the town to work (D)","2016","Rathnew","Number","458"
"Persons commuting into the town to work (D)","2016","Muinebeag","Number","1089"
"Persons commuting into the town to work (D)","2016","Enfield","Number","331"
"Persons commuting into the town to work (D)","2016","Courtown Harbour","Number","171"
"Persons commuting into the town to work (D)","2016","Annacotty","Number","721"
"Persons commuting into the town to work (D)","2016","Moate","Number","367"
"Persons commuting into the town to work (D)","2016","Ballinrobe","Number","732"
"Persons commuting into the town to work (D)","2016","Kilrush","Number","823"
"Persons commuting into the town to work (D)","2016","Skibbereen","Number","1104"
"Persons commuting into the town to work (D)","2016","Kinnegad","Number","276"
"Persons commuting into the town to work (D)","2016","Newcastle","Number","209"
"Persons commuting into the town to work (D)","2016","Gort","Number","765"
"Persons commuting into the town to work (D)","2016","Donegal","Number","1250"
"Persons commuting into the town to work (D)","2016","Boyle","Number","709"
"Persons commuting into the town to work (D)","2016","Ballyjamesduff","Number","316"
"Persons commuting into the town to work (D)","2016","Carndonagh","Number","758"
"Persons commuting into the town to work (D)","2016","Bailieborough","Number","489"
"Persons commuting into the town to work (D)","2016","Castleisland","Number","971"
"Persons commuting into the town to work (D)","2016","Sixmilebridge","Number","136"
"Persons commuting into the town to work (D)","2016","Ballyshannon","Number","597"
"Persons commuting into the town to work (D)","2016","Ballina (North Tipperary)","Number","139"
"Persons commuting into the town to work (D)","2016","Blarney","Number","520"
"Persons commuting into the town to work (D)","2016","Newtownmountkennedy","Number","757"
"Persons commuting into the town to work (D)","2016","Athboy","Number","338"
"Persons commuting into the town to work (D)","2016","Rathangan","Number","282"
"Persons commuting into the town to work (D)","2016","Callan","Number","610"
"Persons commuting into the town to work (D)","2016","Kingscourt","Number","387"
"Persons commuting into the town to work (D)","2016","Ballyhaunis","Number","845"
"Persons commuting into the town to work (D)","2016","Virginia","Number","442"
"Persons commuting into the town to work (D)","2016","Thomastown","Number","412"
"Persons commuting into the town to work (D)","2016","Kanturk","Number","573"
"Persons commuting into the town to work (D)","2016","Prosperous","Number","210"
"Persons commuting into the town to work (D)","2016","Kenmare","Number","570"
"Persons commuting into the town to work (D)","2016","Saggart","Number","231"
"Persons commuting into the town to work (D)","2016","Bundoran","Number","335"
"Persons commuting into the town to work (D)","2016","Cootehill","Number","676"
"Persons commuting into the town to work (D)","2016","Crosshaven","Number","171"
"Persons commuting into the town to work (D)","2016","Killorglin","Number","1641"
"Persons commuting into the town to work (D)","2016","Templemore","Number","821"
"Persons commuting into the town to work (D)","2016","Baltinglass","Number","447"
"Persons commuting into the town to work (D)","2016","Clifden","Number","477"
"Persons commuting into the town to work (D)","2016","Bunclody-Carrickduff","Number","476"
"Persons commuting into the town to work (D)","2016","Abbeyfeale","Number","1091"
"Persons commuting into the town to work (D)","2016","Clogherhead","Number","71"
"Persons commuting into the town to work (D)","2016","Castlerea","Number","669"
"Persons commuting into the town to work (D)","2016","An Daingean","Number","775"
"Persons commuting into the town to work (D)","2016","Castleconnell","Number","154"
"Persons commuting into the town to work (D)","2016","Bearna","Number","274"
"Persons commuting into the town to work (D)","2016","Balrothery","Number","105"
"Persons commuting into the town to work (D)","2016","Abbeyleix","Number","366"
"Persons commuting into the town to work (D)","2016","Ballaghaderreen","Number","126"
"Persons commuting into the town to work (D)","2016","Enniskerry","Number","148"
"Persons commuting into the town to work (D)","2016","Newport","Number","241"
"Persons commuting into the town to work (D)","2016","Dunleer","Number","669"
"Persons commuting into the town to work (D)","2016","Newmarket-on-Fergus","Number","117"
"Persons commuting into the town to work (D)","2016","Clones","Number","261"
"Persons commuting into the town to work (D)","2016","Tubbercurry","Number","430"
"Persons commuting into the town to work (D)","2016","Edgeworthstown","Number","324"
"Persons commuting into the town to work (D)","2016","Ballivor","Number","78"
"Persons commuting into the town to work (D)","2016","Castlebridge","Number","131"
"Persons commuting into the town to work (D)","2016","Portlaw","Number","89"
"Persons commuting into the town to work (D)","2016","Mountrath","Number","263"
"Persons commuting into the town to work (D)","2016","Lifford","Number","659"
"Persons commuting into the town to work (D)","2016","Banagher","Number","303"
"Persons commuting into the town to work (D)","2016","Kilmallock","Number","546"
"Persons commuting into the town to work (D)","2016","Strandhill","Number","179"
"Persons commuting into the town to work (D)","2016","Rathdrum","Number","322"
"Persons commuting into the town to work (D)","2016","Dunmanway","Number","548"
"Persons commuting into the town to work (D)","2016","Millstreet","Number","423"
"Persons commuting into the town to work (D)","2016","Ballymahon","Number","458"
"Persons commuting into the town to work (D)","2016","Cloyne","Number","82"
"Persons commuting into the town to work (D)","2016","Dunmore East","Number","608"
"Persons commuting into the town to work (D)","2016","Moycullen","Number","264"
"Persons commuting into the town to work (D)","2016","Rosslare","Number","208"
"Persons commuting into the town to work (D)","2016","Derrinturn","Number","113"
"Persons commuting into the town to work (D)","2016","Fethard","Number","367"
"Persons commuting into the town to work (D)","2016","Ballymote","Number","380"
"Persons commuting into the town to work (D)","2016","Rathcormac","Number","84"
"Persons commuting into the town to work (D)","2016","Collooney","Number","567"
"Persons commuting into the town to work (D)","2016","Castlemartyr","Number","248"
"Persons commuting into the town to work (D)","2016","Tullyallen","Number","97"
"Persons commuting into the town to work (D)","2016","Longwood","Number","68"
"Persons commuting into the town to work (D)","2016","Termonfeckin","Number","138"
"Persons commuting into the town to work (D)","2016","Convoy","Number","182"
"Persons commuting into the town to work (D)","2016","Castlecomer-Donaguile","Number","316"
"Daytime working population (E=B+D)","2016","Dublin City and suburbs","Number","512449"
"Daytime working population (E=B+D)","2016","Cork City and suburbs","Number","102139"
"Daytime working population (E=B+D)","2016","Limerick City and suburbs","Number","44624"
"Daytime working population (E=B+D)","2016","Galway City and suburbs","Number","44376"
"Daytime working population (E=B+D)","2016","Waterford City and suburbs","Number","24375"
"Daytime working population (E=B+D)","2016","Towns 1,500 population and over","Number","1185346"
"Daytime working population (E=B+D)","2016","Drogheda","Number","12361"
"Daytime working population (E=B+D)","2016","Dundalk","Number","14164"
"Daytime working population (E=B+D)","2016","Swords","Number","15338"
"Daytime working population (E=B+D)","2016","Bray","Number","8763"
"Daytime working population (E=B+D)","2016","Navan (An Uaimh)","Number","8970"
"Daytime working population (E=B+D)","2016","Ennis","Number","10171"
"Daytime working population (E=B+D)","2016","Kilkenny","Number","13738"
"Daytime working population (E=B+D)","2016","Tralee","Number","12517"
"Daytime working population (E=B+D)","2016","Carlow","Number","7868"
"Daytime working population (E=B+D)","2016","Droichead Nua","Number","6526"
"Daytime working population (E=B+D)","2016","Naas","Number","10999"
"Daytime working population (E=B+D)","2016","Athlone","Number","13108"
"Daytime working population (E=B+D)","2016","Portlaoise","Number","8410"
"Daytime working population (E=B+D)","2016","Mullingar","Number","8633"
"Daytime working population (E=B+D)","2016","Wexford","Number","11961"
"Daytime working population (E=B+D)","2016","Balbriggan","Number","3436"
"Daytime working population (E=B+D)","2016","Letterkenny","Number","11395"
"Daytime working population (E=B+D)","2016","Celbridge","Number","2339"
"Daytime working population (E=B+D)","2016","Sligo","Number","13024"
"Daytime working population (E=B+D)","2016","Clonmel","Number","7036"
"Daytime working population (E=B+D)","2016","Greystones","Number","2514"
"Daytime working population (E=B+D)","2016","Malahide","Number","2259"
"Daytime working population (E=B+D)","2016","Leixlip","Number","5825"
"Daytime working population (E=B+D)","2016","Carrigaline","Number","1849"
"Daytime working population (E=B+D)","2016","Tullamore","Number","8259"
"Daytime working population (E=B+D)","2016","Killarney","Number","7109"
"Daytime working population (E=B+D)","2016","Arklow","Number","3040"
"Daytime working population (E=B+D)","2016","Maynooth","Number","5201"
"Daytime working population (E=B+D)","2016","Cobh","Number","1432"
"Daytime working population (E=B+D)","2016","Castlebar","Number","9045"
"Daytime working population (E=B+D)","2016","Midleton","Number","3871"
"Daytime working population (E=B+D)","2016","Mallow","Number","3775"
"Daytime working population (E=B+D)","2016","Ashbourne","Number","1963"
"Daytime working population (E=B+D)","2016","Ballina","Number","4810"
"Daytime working population (E=B+D)","2016","Laytown-Bettystown-Mornington","Number","771"
"Daytime working population (E=B+D)","2016","Enniscorthy","Number","4140"
