"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town or Rural Area","Time Leaving Home","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Town Area","09:01 - 09:30","Students at school or college aged 19 years and over","Number","3033"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Town Area","After 09:30","All persons","Number","18576"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Town Area","After 09:30","Population aged 15 years and over at work","Number","13882"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Town Area","After 09:30","Children at school aged between 5 and 12 years","Number","96"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Town Area","After 09:30","Students at school or college aged between 13 and 18 years","Number","354"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Town Area","After 09:30","Students at school or college aged 19 years and over","Number","4244"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Town Area","Not stated","All persons","Number","1731"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Town Area","Not stated","Population aged 15 years and over at work","Number","924"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Town Area","Not stated","Children at school aged between 5 and 12 years","Number","413"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Town Area","Not stated","Students at school or college aged between 13 and 18 years","Number","204"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Town Area","Not stated","Students at school or college aged 19 years and over","Number","190"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","All departure times","All persons","Number","36318"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","All departure times","Population aged 15 years and over at work","Number","16130"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","All departure times","Children at school aged between 5 and 12 years","Number","9921"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","All departure times","Students at school or college aged between 13 and 18 years","Number","3991"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","All departure times","Students at school or college aged 19 years and over","Number","6276"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","Before 06:30","All persons","Number","1133"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","Before 06:30","Population aged 15 years and over at work","Number","1100"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","Before 06:30","Children at school aged between 5 and 12 years","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","Before 06:30","Students at school or college aged between 13 and 18 years","Number","9"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","Before 06:30","Students at school or college aged 19 years and over","Number","18"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","06:30 - 07:00","All persons","Number","2045"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","06:30 - 07:00","Population aged 15 years and over at work","Number","2021"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged 19 years and over","Number","20"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","07:01 - 07:30","All persons","Number","2323"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","07:01 - 07:30","Population aged 15 years and over at work","Number","2138"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","12"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","124"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","07:01 - 07:30","Students at school or college aged 19 years and over","Number","49"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","07:31 - 08:00","All persons","Number","3254"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","07:31 - 08:00","Population aged 15 years and over at work","Number","2855"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","57"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","219"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","07:31 - 08:00","Students at school or college aged 19 years and over","Number","123"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","08:01 - 08:30","All persons","Number","3801"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","08:01 - 08:30","Population aged 15 years and over at work","Number","2348"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","281"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","532"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","08:01 - 08:30","Students at school or college aged 19 years and over","Number","640"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","08:31 - 09:00","All persons","Number","11414"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","08:31 - 09:00","Population aged 15 years and over at work","Number","2337"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","3557"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","2384"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","08:31 - 09:00","Students at school or college aged 19 years and over","Number","3136"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","09:01 - 09:30","All persons","Number","8521"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","09:01 - 09:30","Population aged 15 years and over at work","Number","1195"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","5895"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","459"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","09:01 - 09:30","Students at school or college aged 19 years and over","Number","972"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","After 09:30","All persons","Number","3182"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","After 09:30","Population aged 15 years and over at work","Number","1688"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","After 09:30","Children at school aged between 5 and 12 years","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","After 09:30","Students at school or college aged between 13 and 18 years","Number","217"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","After 09:30","Students at school or college aged 19 years and over","Number","1252"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","Not stated","All persons","Number","645"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","Not stated","Population aged 15 years and over at work","Number","448"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","Not stated","Children at school aged between 5 and 12 years","Number","86"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","Not stated","Students at school or college aged between 13 and 18 years","Number","45"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","On foot","Aggregate Rural Area","Not stated","Students at school or college aged 19 years and over","Number","66"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","All departure times","All persons","Number","45810"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","All departure times","Population aged 15 years and over at work","Number","29075"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","All departure times","Children at school aged between 5 and 12 years","Number","4457"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","All departure times","Students at school or college aged between 13 and 18 years","Number","6063"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","All departure times","Students at school or college aged 19 years and over","Number","6215"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","Before 06:30","All persons","Number","2549"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","Before 06:30","Population aged 15 years and over at work","Number","2495"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","Before 06:30","Children at school aged between 5 and 12 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","Before 06:30","Students at school or college aged between 13 and 18 years","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","Before 06:30","Students at school or college aged 19 years and over","Number","45"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","06:30 - 07:00","All persons","Number","2537"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","06:30 - 07:00","Population aged 15 years and over at work","Number","2451"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","8"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","06:30 - 07:00","Students at school or college aged 19 years and over","Number","73"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","07:01 - 07:30","All persons","Number","3311"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","07:01 - 07:30","Population aged 15 years and over at work","Number","3053"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","23"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","97"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","07:01 - 07:30","Students at school or college aged 19 years and over","Number","138"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","07:31 - 08:00","All persons","Number","6114"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","07:31 - 08:00","Population aged 15 years and over at work","Number","4972"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","129"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","660"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","07:31 - 08:00","Students at school or college aged 19 years and over","Number","353"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","08:01 - 08:30","All persons","Number","10769"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","08:01 - 08:30","Population aged 15 years and over at work","Number","5452"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","1289"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","2973"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","08:01 - 08:30","Students at school or college aged 19 years and over","Number","1055"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","08:31 - 09:00","All persons","Number","11413"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","08:31 - 09:00","Population aged 15 years and over at work","Number","4878"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","2327"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","2108"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","08:31 - 09:00","Students at school or college aged 19 years and over","Number","2100"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","09:01 - 09:30","All persons","Number","3581"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","09:01 - 09:30","Population aged 15 years and over at work","Number","1900"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","654"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","106"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","09:01 - 09:30","Students at school or college aged 19 years and over","Number","921"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","After 09:30","All persons","Number","5070"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","After 09:30","Population aged 15 years and over at work","Number","3510"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","After 09:30","Children at school aged between 5 and 12 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","After 09:30","Students at school or college aged between 13 and 18 years","Number","79"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","After 09:30","Students at school or college aged 19 years and over","Number","1478"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","Not stated","All persons","Number","466"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","Not stated","Population aged 15 years and over at work","Number","364"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","Not stated","Children at school aged between 5 and 12 years","Number","22"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","Not stated","Students at school or college aged between 13 and 18 years","Number","28"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","State","Not stated","Students at school or college aged 19 years and over","Number","52"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","All departure times","All persons","Number","41577"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","All departure times","Population aged 15 years and over at work","Number","26903"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","All departure times","Children at school aged between 5 and 12 years","Number","3585"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","All departure times","Students at school or college aged between 13 and 18 years","Number","5711"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","All departure times","Students at school or college aged 19 years and over","Number","5378"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","Before 06:30","All persons","Number","2347"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","Before 06:30","Population aged 15 years and over at work","Number","2297"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","Before 06:30","Children at school aged between 5 and 12 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","Before 06:30","Students at school or college aged between 13 and 18 years","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","Before 06:30","Students at school or college aged 19 years and over","Number","41"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","06:30 - 07:00","All persons","Number","2277"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","06:30 - 07:00","Population aged 15 years and over at work","Number","2195"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","5"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","7"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","06:30 - 07:00","Students at school or college aged 19 years and over","Number","70"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","07:01 - 07:30","All persons","Number","2987"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","07:01 - 07:30","Population aged 15 years and over at work","Number","2753"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","19"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","91"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","07:01 - 07:30","Students at school or college aged 19 years and over","Number","124"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","07:31 - 08:00","All persons","Number","5624"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","07:31 - 08:00","Population aged 15 years and over at work","Number","4556"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","126"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","624"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","07:31 - 08:00","Students at school or college aged 19 years and over","Number","318"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","08:01 - 08:30","All persons","Number","10157"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","08:01 - 08:30","Population aged 15 years and over at work","Number","5122"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","1231"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","2886"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","08:01 - 08:30","Students at school or college aged 19 years and over","Number","918"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","08:31 - 09:00","All persons","Number","10172"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","08:31 - 09:00","Population aged 15 years and over at work","Number","4581"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","1931"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","08:31 - 09:00","Students at school or college aged between 13 and 18 years","Number","1947"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","08:31 - 09:00","Students at school or college aged 19 years and over","Number","1713"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","09:01 - 09:30","All persons","Number","2917"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","09:01 - 09:30","Population aged 15 years and over at work","Number","1779"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","09:01 - 09:30","Children at school aged between 5 and 12 years","Number","250"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","09:01 - 09:30","Students at school or college aged between 13 and 18 years","Number","69"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","09:01 - 09:30","Students at school or college aged 19 years and over","Number","819"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","After 09:30","All persons","Number","4717"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","After 09:30","Population aged 15 years and over at work","Number","3327"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","After 09:30","Children at school aged between 5 and 12 years","Number","2"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","After 09:30","Students at school or college aged between 13 and 18 years","Number","57"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","After 09:30","Students at school or college aged 19 years and over","Number","1331"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","Not stated","All persons","Number","379"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","Not stated","Population aged 15 years and over at work","Number","293"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","Not stated","Children at school aged between 5 and 12 years","Number","16"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","Not stated","Students at school or college aged between 13 and 18 years","Number","26"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Town Area","Not stated","Students at school or college aged 19 years and over","Number","44"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","All departure times","All persons","Number","4233"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","All departure times","Population aged 15 years and over at work","Number","2172"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","All departure times","Children at school aged between 5 and 12 years","Number","872"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","All departure times","Students at school or college aged between 13 and 18 years","Number","352"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","All departure times","Students at school or college aged 19 years and over","Number","837"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","Before 06:30","All persons","Number","202"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","Before 06:30","Population aged 15 years and over at work","Number","198"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","Before 06:30","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","Before 06:30","Students at school or college aged between 13 and 18 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","Before 06:30","Students at school or college aged 19 years and over","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","06:30 - 07:00","All persons","Number","260"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","06:30 - 07:00","Population aged 15 years and over at work","Number","256"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","06:30 - 07:00","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged between 13 and 18 years","Number","1"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","06:30 - 07:00","Students at school or college aged 19 years and over","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","07:01 - 07:30","All persons","Number","324"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","07:01 - 07:30","Population aged 15 years and over at work","Number","300"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","07:01 - 07:30","Children at school aged between 5 and 12 years","Number","4"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","07:01 - 07:30","Students at school or college aged between 13 and 18 years","Number","6"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","07:01 - 07:30","Students at school or college aged 19 years and over","Number","14"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","07:31 - 08:00","All persons","Number","490"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","07:31 - 08:00","Population aged 15 years and over at work","Number","416"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","07:31 - 08:00","Children at school aged between 5 and 12 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","07:31 - 08:00","Students at school or college aged between 13 and 18 years","Number","36"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","07:31 - 08:00","Students at school or college aged 19 years and over","Number","35"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","08:01 - 08:30","All persons","Number","612"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","08:01 - 08:30","Population aged 15 years and over at work","Number","330"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","08:01 - 08:30","Children at school aged between 5 and 12 years","Number","58"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","08:01 - 08:30","Students at school or college aged between 13 and 18 years","Number","87"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","08:01 - 08:30","Students at school or college aged 19 years and over","Number","137"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","08:31 - 09:00","All persons","Number","1241"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","08:31 - 09:00","Population aged 15 years and over at work","Number","297"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Bicycle","Aggregate Rural Area","08:31 - 09:00","Children at school aged between 5 and 12 years","Number","396"
