year,sex,means_of_travel,town_size,age,edu_level,value
2011,Male,truck,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,2
2011,Male,truck,"Towns 1,500 - 1,999 population",>=19,university,15
2011,Male,truck,"Towns 1,000 - 1,499 population",>=15,junior-cert,2500
2011,Male,truck,"Towns 1,000 - 1,499 population",5 to 12,primary-school,10
2011,Male,truck,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,5
2011,Male,truck,"Towns 1,000 - 1,499 population",>=19,university,28
2011,Male,truck,Total Towns 500 - 999 population,>=15,junior-cert,3455
2011,Male,truck,Total Towns 500 - 999 population,5 to 12,primary-school,15
2011,Male,truck,Total Towns 500 - 999 population,13 to 18,leaving-cert,11
2011,Male,truck,Total Towns 500 - 999 population,>=19,university,37
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,3632
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,12
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,5
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,>=19,university,34
2011,Male,truck,Remainder of country,>=15,junior-cert,58030
2011,Male,truck,Remainder of country,5 to 12,primary-school,219
2011,Male,truck,Remainder of country,13 to 18,leaving-cert,262
2011,Male,truck,Remainder of country,>=19,university,555
2011,Male,truck,Dublin City and suburbs,>=15,junior-cert,854
2011,Male,truck,Dublin City and suburbs,5 to 12,primary-school,17
2011,Male,truck,Dublin City and suburbs,13 to 18,leaving-cert,8
2011,Male,truck,Dublin City and suburbs,>=19,university,6
2011,Male,truck,Cork City and suburbs,>=15,junior-cert,284
2011,Male,truck,Cork City and suburbs,5 to 12,primary-school,2
2011,Male,truck,Cork City and suburbs,13 to 18,leaving-cert,2
2011,Male,truck,Cork City and suburbs,>=19,university,3
2011,Male,truck,Limerick City and suburbs,>=15,junior-cert,74
2011,Male,truck,Limerick City and suburbs,5 to 12,primary-school,3
2011,Male,truck,Limerick City and suburbs,13 to 18,leaving-cert,0
2011,Male,truck,Limerick City and suburbs,>=19,university,1
2011,Male,truck,Galway City and suburbs,>=15,junior-cert,76
2011,Male,truck,Galway City and suburbs,5 to 12,primary-school,1
2011,Male,truck,Galway City and suburbs,13 to 18,leaving-cert,0
2011,Male,truck,Galway City and suburbs,>=19,university,5
2011,Male,truck,Waterford City and suburbs,>=15,junior-cert,52
2011,Male,truck,Waterford City and suburbs,5 to 12,primary-school,1
2011,Male,truck,Waterford City and suburbs,13 to 18,leaving-cert,0
2011,Male,truck,Waterford City and suburbs,>=19,university,1
2011,Male,truck,"Towns 10,000 population and over",>=15,junior-cert,1007
2011,Male,truck,"Towns 10,000 population and over",5 to 12,primary-school,18
2011,Male,truck,"Towns 10,000 population and over",13 to 18,leaving-cert,6
2011,Male,truck,"Towns 10,000 population and over",>=19,university,9
2011,Male,truck,"Towns 5,000 - 9,999 population",>=15,junior-cert,534
2011,Male,truck,"Towns 5,000 - 9,999 population",5 to 12,primary-school,5
2011,Male,truck,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,3
2011,Male,truck,"Towns 5,000 - 9,999 population",>=19,university,3
2011,Male,truck,"Towns 2,000 - 4,999 population",>=15,junior-cert,503
2011,Male,truck,"Towns 2,000 - 4,999 population",5 to 12,primary-school,4
2011,Male,truck,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,1
2011,Male,truck,"Towns 2,000 - 4,999 population",>=19,university,3
2011,Male,truck,"Towns 1,500 - 1,999 population",>=15,junior-cert,163
2011,Male,truck,"Towns 1,500 - 1,999 population",5 to 12,primary-school,0
2011,Male,truck,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,0
2011,Male,truck,"Towns 1,500 - 1,999 population",>=19,university,1
2011,Male,truck,"Towns 1,000 - 1,499 population",>=15,junior-cert,267
2011,Male,truck,"Towns 1,000 - 1,499 population",5 to 12,primary-school,2
2011,Male,truck,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,0
2011,Male,truck,"Towns 1,000 - 1,499 population",>=19,university,2
2011,Male,truck,Total Towns 500 - 999 population,>=15,junior-cert,420
2011,Male,truck,Total Towns 500 - 999 population,5 to 12,primary-school,4
2011,Male,truck,Total Towns 500 - 999 population,13 to 18,leaving-cert,0
2011,Male,truck,Total Towns 500 - 999 population,>=19,university,1
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,500
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,3
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,3
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,>=19,university,1
2011,Male,truck,Remainder of country,>=15,junior-cert,9575
2011,Male,truck,Remainder of country,5 to 12,primary-school,29
2011,Male,truck,Remainder of country,13 to 18,leaving-cert,36
2011,Male,truck,Remainder of country,>=19,university,21
2011,Male,remote,Dublin City and suburbs,>=15,junior-cert,5683
2011,Male,remote,Dublin City and suburbs,5 to 12,primary-school,32
2011,Male,remote,Dublin City and suburbs,13 to 18,leaving-cert,27
2011,Male,remote,Dublin City and suburbs,>=19,university,78
2011,Male,remote,Cork City and suburbs,>=15,junior-cert,828
2011,Male,remote,Cork City and suburbs,5 to 12,primary-school,5
2011,Male,remote,Cork City and suburbs,13 to 18,leaving-cert,1
2011,Male,remote,Cork City and suburbs,>=19,university,11
2011,Male,remote,Limerick City and suburbs,>=15,junior-cert,340
2011,Male,remote,Limerick City and suburbs,5 to 12,primary-school,1
2011,Male,remote,Limerick City and suburbs,13 to 18,leaving-cert,3
2011,Male,remote,Limerick City and suburbs,>=19,university,4
2011,Male,remote,Galway City and suburbs,>=15,junior-cert,397
2011,Male,remote,Galway City and suburbs,5 to 12,primary-school,0
2011,Male,remote,Galway City and suburbs,13 to 18,leaving-cert,2
2011,Male,remote,Galway City and suburbs,>=19,university,5
2011,Male,remote,Waterford City and suburbs,>=15,junior-cert,177
2011,Male,remote,Waterford City and suburbs,5 to 12,primary-school,0
2011,Male,remote,Waterford City and suburbs,13 to 18,leaving-cert,1
2011,Male,remote,Waterford City and suburbs,>=19,university,2
2011,Male,remote,"Towns 10,000 population and over",>=15,junior-cert,3196
2011,Male,remote,"Towns 10,000 population and over",5 to 12,primary-school,22
2011,Male,remote,"Towns 10,000 population and over",13 to 18,leaving-cert,14
2011,Male,remote,"Towns 10,000 population and over",>=19,university,35
2011,Male,remote,"Towns 5,000 - 9,999 population",>=15,junior-cert,1382
2011,Male,remote,"Towns 5,000 - 9,999 population",5 to 12,primary-school,4
2011,Male,remote,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,6
2011,Male,remote,"Towns 5,000 - 9,999 population",>=19,university,10
2011,Male,remote,"Towns 2,000 - 4,999 population",>=15,junior-cert,1239
2011,Male,remote,"Towns 2,000 - 4,999 population",5 to 12,primary-school,8
2011,Male,remote,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,6
2011,Male,remote,"Towns 2,000 - 4,999 population",>=19,university,8
2011,Male,remote,"Towns 1,500 - 1,999 population",>=15,junior-cert,445
2011,Male,remote,"Towns 1,500 - 1,999 population",5 to 12,primary-school,0
2011,Male,remote,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,1
2011,Male,remote,"Towns 1,500 - 1,999 population",>=19,university,5
2011,Male,remote,"Towns 1,000 - 1,499 population",>=15,junior-cert,634
2011,Male,remote,"Towns 1,000 - 1,499 population",5 to 12,primary-school,0
2011,Male,remote,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,3
2011,Male,remote,"Towns 1,000 - 1,499 population",>=19,university,2
2011,Male,remote,Total Towns 500 - 999 population,>=15,junior-cert,1028
2011,Male,remote,Total Towns 500 - 999 population,5 to 12,primary-school,0
2011,Male,remote,Total Towns 500 - 999 population,13 to 18,leaving-cert,2
2011,Male,remote,Total Towns 500 - 999 population,>=19,university,7
2011,Male,remote,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,1257
2011,Male,remote,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,8
2011,Male,remote,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,5
2011,Male,remote,Towns under 500 population but with at least 50 inhabited houses,>=19,university,0
2011,Male,remote,Remainder of country,>=15,junior-cert,42672
2011,Male,remote,Remainder of country,5 to 12,primary-school,55
2011,Male,remote,Remainder of country,13 to 18,leaving-cert,66
2011,Male,remote,Remainder of country,>=19,university,72
2011,Male,na,Dublin City and suburbs,>=15,junior-cert,8243
2011,Male,na,Dublin City and suburbs,5 to 12,primary-school,2276
2011,Male,na,Dublin City and suburbs,13 to 18,leaving-cert,865
2011,Male,na,Dublin City and suburbs,>=19,university,1130
2011,Male,na,Cork City and suburbs,>=15,junior-cert,1306
2011,Male,na,Cork City and suburbs,5 to 12,primary-school,425
2011,Male,na,Cork City and suburbs,13 to 18,leaving-cert,157
2011,Male,na,Cork City and suburbs,>=19,university,216
2011,Male,na,Limerick City and suburbs,>=15,junior-cert,624
2011,Male,na,Limerick City and suburbs,5 to 12,primary-school,207
2011,Male,na,Limerick City and suburbs,13 to 18,leaving-cert,79
2011,Male,na,Limerick City and suburbs,>=19,university,118
2011,Male,na,Galway City and suburbs,>=15,junior-cert,564
2011,Male,na,Galway City and suburbs,5 to 12,primary-school,156
2011,Male,na,Galway City and suburbs,13 to 18,leaving-cert,57
2011,Male,na,Galway City and suburbs,>=19,university,126
2011,Male,na,Waterford City and suburbs,>=15,junior-cert,357
2011,Male,na,Waterford City and suburbs,5 to 12,primary-school,117
2011,Male,na,Waterford City and suburbs,13 to 18,leaving-cert,45
2011,Male,na,Waterford City and suburbs,>=19,university,70
2011,Male,na,"Towns 10,000 population and over",>=15,junior-cert,4283
2011,Male,na,"Towns 10,000 population and over",5 to 12,primary-school,1791
2011,Male,na,"Towns 10,000 population and over",13 to 18,leaving-cert,677
2011,Male,na,"Towns 10,000 population and over",>=19,university,602
2011,Male,na,"Towns 5,000 - 9,999 population",>=15,junior-cert,1438
2011,Male,na,"Towns 5,000 - 9,999 population",5 to 12,primary-school,643
2011,Male,na,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,257
2011,Male,na,"Towns 5,000 - 9,999 population",>=19,university,164
2011,Male,na,"Towns 2,000 - 4,999 population",>=15,junior-cert,1332
2011,Male,na,"Towns 2,000 - 4,999 population",5 to 12,primary-school,547
2011,Male,na,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,200
2011,Male,na,"Towns 2,000 - 4,999 population",>=19,university,131
2011,Male,na,"Towns 1,500 - 1,999 population",>=15,junior-cert,381
2011,Male,na,"Towns 1,500 - 1,999 population",5 to 12,primary-school,159
2011,Male,na,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,56
2011,Male,na,"Towns 1,500 - 1,999 population",>=19,university,42
2011,Male,na,"Towns 1,000 - 1,499 population",>=15,junior-cert,539
2011,Male,na,"Towns 1,000 - 1,499 population",5 to 12,primary-school,194
2011,Male,na,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,80
2011,Male,na,"Towns 1,000 - 1,499 population",>=19,university,47
2011,Male,na,Total Towns 500 - 999 population,>=15,junior-cert,677
2011,Male,na,Total Towns 500 - 999 population,5 to 12,primary-school,269
2011,Male,na,Total Towns 500 - 999 population,13 to 18,leaving-cert,91
2011,Male,na,Total Towns 500 - 999 population,>=19,university,65
2011,Male,na,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,709
2011,Male,na,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,217
2011,Male,na,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,90
2011,Male,na,Towns under 500 population but with at least 50 inhabited houses,>=19,university,68
2011,Male,na,Remainder of country,>=15,junior-cert,15614
2011,Male,na,Remainder of country,5 to 12,primary-school,2139
2011,Male,na,Remainder of country,13 to 18,leaving-cert,1000
2011,Male,na,Remainder of country,>=19,university,704
2011,Female,walking,Dublin City and suburbs,>=15,junior-cert,37723
2011,Female,walking,Dublin City and suburbs,5 to 12,primary-school,21448
2011,Female,walking,Dublin City and suburbs,13 to 18,leaving-cert,12969
2011,Female,walking,Dublin City and suburbs,>=19,university,6920
2011,Female,walking,Cork City and suburbs,>=15,junior-cert,6466
2011,Female,walking,Cork City and suburbs,5 to 12,primary-school,2550
2011,Female,walking,Cork City and suburbs,13 to 18,leaving-cert,1836
2011,Female,walking,Cork City and suburbs,>=19,university,2415
2011,Female,walking,Limerick City and suburbs,>=15,junior-cert,2942
2011,Female,walking,Limerick City and suburbs,5 to 12,primary-school,1446
2011,Female,walking,Limerick City and suburbs,13 to 18,leaving-cert,875
2011,Female,walking,Limerick City and suburbs,>=19,university,1194
2011,Female,walking,Galway City and suburbs,>=15,junior-cert,2849
2011,Female,walking,Galway City and suburbs,5 to 12,primary-school,628
2011,Female,walking,Galway City and suburbs,13 to 18,leaving-cert,382
2011,Female,walking,Galway City and suburbs,>=19,university,1740
2011,Female,walking,Waterford City and suburbs,>=15,junior-cert,1480
2011,Female,walking,Waterford City and suburbs,5 to 12,primary-school,628
2011,Female,walking,Waterford City and suburbs,13 to 18,leaving-cert,576
2011,Female,walking,Waterford City and suburbs,>=19,university,482
2011,Female,walking,"Towns 10,000 population and over",>=15,junior-cert,20592
2011,Female,walking,"Towns 10,000 population and over",5 to 12,primary-school,11632
2011,Female,walking,"Towns 10,000 population and over",13 to 18,leaving-cert,8525
2011,Female,walking,"Towns 10,000 population and over",>=19,university,4193
2011,Female,walking,"Towns 5,000 - 9,999 population",>=15,junior-cert,7636
2011,Female,walking,"Towns 5,000 - 9,999 population",5 to 12,primary-school,5665
2011,Female,walking,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,4053
2011,Female,walking,"Towns 5,000 - 9,999 population",>=19,university,1043
2011,Female,walking,"Towns 2,000 - 4,999 population",>=15,junior-cert,5695
2011,Female,walking,"Towns 2,000 - 4,999 population",5 to 12,primary-school,3811
2011,Female,walking,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,2825
2011,Female,walking,"Towns 2,000 - 4,999 population",>=19,university,779
2011,Female,walking,"Towns 1,500 - 1,999 population",>=15,junior-cert,1416
2011,Female,walking,"Towns 1,500 - 1,999 population",5 to 12,primary-school,1297
2011,Female,walking,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,510
2011,Female,walking,"Towns 1,500 - 1,999 population",>=19,university,245
2011,Female,walking,"Towns 1,000 - 1,499 population",>=15,junior-cert,1743
2011,Female,walking,"Towns 1,000 - 1,499 population",5 to 12,primary-school,1751
2011,Female,walking,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,816
2011,Female,walking,"Towns 1,000 - 1,499 population",>=19,university,303
2011,Female,walking,Total Towns 500 - 999 population,>=15,junior-cert,2065
2011,Female,walking,Total Towns 500 - 999 population,5 to 12,primary-school,2502
2011,Female,walking,Total Towns 500 - 999 population,13 to 18,leaving-cert,676
2011,Female,walking,Total Towns 500 - 999 population,>=19,university,414
2011,Female,walking,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,1398
2011,Female,walking,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,2230
2011,Female,walking,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,290
2011,Female,walking,Towns under 500 population but with at least 50 inhabited houses,>=19,university,427
2011,Female,walking,Remainder of country,>=15,junior-cert,4791
2011,Female,walking,Remainder of country,5 to 12,primary-school,2949
2011,Female,walking,Remainder of country,13 to 18,leaving-cert,2170
2011,Female,walking,Remainder of country,>=19,university,7411
2011,Female,bike,Dublin City and suburbs,>=15,junior-cert,7252
2011,Female,bike,Dublin City and suburbs,5 to 12,primary-school,714
2011,Female,bike,Dublin City and suburbs,13 to 18,leaving-cert,310
2011,Female,bike,Dublin City and suburbs,>=19,university,1355
2011,Female,bike,Cork City and suburbs,>=15,junior-cert,416
2011,Female,bike,Cork City and suburbs,5 to 12,primary-school,17
2011,Female,bike,Cork City and suburbs,13 to 18,leaving-cert,10
2011,Female,bike,Cork City and suburbs,>=19,university,163
2011,Female,bike,Limerick City and suburbs,>=15,junior-cert,132
2011,Female,bike,Limerick City and suburbs,5 to 12,primary-school,13
2011,Female,bike,Limerick City and suburbs,13 to 18,leaving-cert,13
2011,Female,bike,Limerick City and suburbs,>=19,university,75
2011,Female,bike,Galway City and suburbs,>=15,junior-cert,474
2011,Female,bike,Galway City and suburbs,5 to 12,primary-school,31
2011,Female,bike,Galway City and suburbs,13 to 18,leaving-cert,23
2011,Female,bike,Galway City and suburbs,>=19,university,183
2011,Female,bike,Waterford City and suburbs,>=15,junior-cert,59
2011,Female,bike,Waterford City and suburbs,5 to 12,primary-school,1
2011,Female,bike,Waterford City and suburbs,13 to 18,leaving-cert,2
2011,Female,bike,Waterford City and suburbs,>=19,university,21
2011,Female,bike,"Towns 10,000 population and over",>=15,junior-cert,1106
2011,Female,bike,"Towns 10,000 population and over",5 to 12,primary-school,319
2011,Female,bike,"Towns 10,000 population and over",13 to 18,leaving-cert,63
2011,Female,bike,"Towns 10,000 population and over",>=19,university,144
2011,Female,bike,"Towns 5,000 - 9,999 population",>=15,junior-cert,299
2011,Female,bike,"Towns 5,000 - 9,999 population",5 to 12,primary-school,176
2011,Female,bike,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,20
2011,Female,bike,"Towns 5,000 - 9,999 population",>=19,university,31
2011,Female,bike,"Towns 2,000 - 4,999 population",>=15,junior-cert,192
2011,Female,bike,"Towns 2,000 - 4,999 population",5 to 12,primary-school,60
2011,Female,bike,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,8
2011,Female,bike,"Towns 2,000 - 4,999 population",>=19,university,28
2011,Female,bike,"Towns 1,500 - 1,999 population",>=15,junior-cert,48
2011,Female,bike,"Towns 1,500 - 1,999 population",5 to 12,primary-school,20
2011,Female,bike,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,2
2011,Female,bike,"Towns 1,500 - 1,999 population",>=19,university,6
2011,Female,bike,"Towns 1,000 - 1,499 population",>=15,junior-cert,62
2011,Female,bike,"Towns 1,000 - 1,499 population",5 to 12,primary-school,32
2011,Female,bike,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,4
2011,Female,bike,"Towns 1,000 - 1,499 population",>=19,university,5
2011,Female,bike,Total Towns 500 - 999 population,>=15,junior-cert,60
2011,Female,bike,Total Towns 500 - 999 population,5 to 12,primary-school,32
2011,Female,bike,Total Towns 500 - 999 population,13 to 18,leaving-cert,1
2011,Female,bike,Total Towns 500 - 999 population,>=19,university,5
2011,Female,bike,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,48
2011,Female,bike,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,58
2011,Female,bike,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,0
2011,Female,bike,Towns under 500 population but with at least 50 inhabited houses,>=19,university,20
2011,Female,bike,Remainder of country,>=15,junior-cert,580
2011,Female,bike,Remainder of country,5 to 12,primary-school,322
2011,Female,bike,Remainder of country,13 to 18,leaving-cert,73
2011,Female,bike,Remainder of country,>=19,university,279
2011,Female,bus,Dublin City and suburbs,>=15,junior-cert,35344
2011,Female,bus,Dublin City and suburbs,5 to 12,primary-school,2849
2011,Female,bus,Dublin City and suburbs,13 to 18,leaving-cert,8231
2011,Female,bus,Dublin City and suburbs,>=19,university,10226
2011,Female,bus,Cork City and suburbs,>=15,junior-cert,2733
2011,Female,bus,Cork City and suburbs,5 to 12,primary-school,320
2011,Female,bus,Cork City and suburbs,13 to 18,leaving-cert,985
2011,Female,bus,Cork City and suburbs,>=19,university,981
2011,Female,bus,Limerick City and suburbs,>=15,junior-cert,748
2011,Female,bus,Limerick City and suburbs,5 to 12,primary-school,165
2011,Female,bus,Limerick City and suburbs,13 to 18,leaving-cert,539
2011,Female,bus,Limerick City and suburbs,>=19,university,326
2011,Female,bus,Galway City and suburbs,>=15,junior-cert,1074
2011,Female,bus,Galway City and suburbs,5 to 12,primary-school,177
2011,Female,bus,Galway City and suburbs,13 to 18,leaving-cert,557
2011,Female,bus,Galway City and suburbs,>=19,university,364
2011,Female,bus,Waterford City and suburbs,>=15,junior-cert,297
2011,Female,bus,Waterford City and suburbs,5 to 12,primary-school,111
2011,Female,bus,Waterford City and suburbs,13 to 18,leaving-cert,153
2011,Female,bus,Waterford City and suburbs,>=19,university,111
2011,Female,bus,"Towns 10,000 population and over",>=15,junior-cert,6289
2011,Female,bus,"Towns 10,000 population and over",5 to 12,primary-school,3377
2011,Female,bus,"Towns 10,000 population and over",13 to 18,leaving-cert,3660
2011,Female,bus,"Towns 10,000 population and over",>=19,university,3067
2011,Female,bus,"Towns 5,000 - 9,999 population",>=15,junior-cert,1895
2011,Female,bus,"Towns 5,000 - 9,999 population",5 to 12,primary-school,1298
2011,Female,bus,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,1332
2011,Female,bus,"Towns 5,000 - 9,999 population",>=19,university,931
2011,Female,bus,"Towns 2,000 - 4,999 population",>=15,junior-cert,1057
2011,Female,bus,"Towns 2,000 - 4,999 population",5 to 12,primary-school,878
2011,Female,bus,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,1240
2011,Female,bus,"Towns 2,000 - 4,999 population",>=19,university,680
2011,Female,bus,"Towns 1,500 - 1,999 population",>=15,junior-cert,185
2011,Female,bus,"Towns 1,500 - 1,999 population",5 to 12,primary-school,189
2011,Female,bus,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,742
2011,Female,bus,"Towns 1,500 - 1,999 population",>=19,university,165
2011,Female,bus,"Towns 1,000 - 1,499 population",>=15,junior-cert,322
2011,Female,bus,"Towns 1,000 - 1,499 population",5 to 12,primary-school,285
2011,Female,bus,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,1058
2011,Female,bus,"Towns 1,000 - 1,499 population",>=19,university,225
2011,Female,bus,Total Towns 500 - 999 population,>=15,junior-cert,374
2011,Female,bus,Total Towns 500 - 999 population,5 to 12,primary-school,481
2011,Female,bus,Total Towns 500 - 999 population,13 to 18,leaving-cert,1789
2011,Female,bus,Total Towns 500 - 999 population,>=19,university,269
2011,Female,bus,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,256
2011,Female,bus,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,682
2011,Female,bus,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,2303
2011,Female,bus,Towns under 500 population but with at least 50 inhabited houses,>=19,university,301
2011,Female,bus,Remainder of country,>=15,junior-cert,2507
2011,Female,bus,Remainder of country,5 to 12,primary-school,18234
2011,Female,bus,Remainder of country,13 to 18,leaving-cert,25421
2011,Female,bus,Remainder of country,>=19,university,3519
2011,Female,train,Dublin City and suburbs,>=15,junior-cert,17463
2011,Female,train,Dublin City and suburbs,5 to 12,primary-school,225
2011,Female,train,Dublin City and suburbs,13 to 18,leaving-cert,1352
2011,Female,train,Dublin City and suburbs,>=19,university,2961
2011,Female,train,Cork City and suburbs,>=15,junior-cert,85
2011,Female,train,Cork City and suburbs,5 to 12,primary-school,6
2011,Female,train,Cork City and suburbs,13 to 18,leaving-cert,19
2011,Female,train,Cork City and suburbs,>=19,university,41
2011,Female,train,Limerick City and suburbs,>=15,junior-cert,19
2011,Female,train,Limerick City and suburbs,5 to 12,primary-school,1
2011,Female,train,Limerick City and suburbs,13 to 18,leaving-cert,2
2011,Female,train,Limerick City and suburbs,>=19,university,10
2011,Female,train,Galway City and suburbs,>=15,junior-cert,20
2011,Female,train,Galway City and suburbs,5 to 12,primary-school,0
2011,Female,train,Galway City and suburbs,13 to 18,leaving-cert,5
2011,Female,train,Galway City and suburbs,>=19,university,12
2011,Female,train,Waterford City and suburbs,>=15,junior-cert,13
2011,Female,train,Waterford City and suburbs,5 to 12,primary-school,0
2011,Female,train,Waterford City and suburbs,13 to 18,leaving-cert,1
2011,Female,train,Waterford City and suburbs,>=19,university,10
2011,Female,train,"Towns 10,000 population and over",>=15,junior-cert,4950
2011,Female,train,"Towns 10,000 population and over",5 to 12,primary-school,37
2011,Female,train,"Towns 10,000 population and over",13 to 18,leaving-cert,538
2011,Female,train,"Towns 10,000 population and over",>=19,university,1283
2011,Female,train,"Towns 5,000 - 9,999 population",>=15,junior-cert,2413
2011,Female,train,"Towns 5,000 - 9,999 population",5 to 12,primary-school,15
2011,Female,train,"Towns 5,000 - 9,999 population",13 to 18,leaving-cert,352
2011,Female,train,"Towns 5,000 - 9,999 population",>=19,university,477
2011,Female,train,"Towns 2,000 - 4,999 population",>=15,junior-cert,451
2011,Female,train,"Towns 2,000 - 4,999 population",5 to 12,primary-school,7
2011,Female,train,"Towns 2,000 - 4,999 population",13 to 18,leaving-cert,48
2011,Female,train,"Towns 2,000 - 4,999 population",>=19,university,97
2011,Female,train,"Towns 1,500 - 1,999 population",>=15,junior-cert,97
2011,Female,train,"Towns 1,500 - 1,999 population",5 to 12,primary-school,2
2011,Female,train,"Towns 1,500 - 1,999 population",13 to 18,leaving-cert,12
2011,Female,train,"Towns 1,500 - 1,999 population",>=19,university,35
2011,Female,train,"Towns 1,000 - 1,499 population",>=15,junior-cert,132
2011,Female,train,"Towns 1,000 - 1,499 population",5 to 12,primary-school,2
2011,Female,train,"Towns 1,000 - 1,499 population",13 to 18,leaving-cert,28
2011,Female,train,"Towns 1,000 - 1,499 population",>=19,university,54
2011,Female,train,Total Towns 500 - 999 population,>=15,junior-cert,140
2011,Female,train,Total Towns 500 - 999 population,5 to 12,primary-school,2
2011,Female,train,Total Towns 500 - 999 population,13 to 18,leaving-cert,28
2011,Female,train,Total Towns 500 - 999 population,>=19,university,58
2011,Female,train,Towns under 500 population but with at least 50 inhabited houses,>=15,junior-cert,102
2011,Female,train,Towns under 500 population but with at least 50 inhabited houses,5 to 12,primary-school,0
2011,Female,train,Towns under 500 population but with at least 50 inhabited houses,13 to 18,leaving-cert,22
2011,Female,train,Towns under 500 population but with at least 50 inhabited houses,>=19,university,55
2011,Female,train,Remainder of country,>=15,junior-cert,1212
2011,Female,train,Remainder of country,5 to 12,primary-school,23
2011,Female,train,Remainder of country,13 to 18,leaving-cert,307
2011,Female,train,Remainder of country,>=19,university,747
2011,Female,motorbike,Dublin City and suburbs,>=15,junior-cert,468
2011,Female,motorbike,Dublin City and suburbs,5 to 12,primary-school,0
2011,Female,motorbike,Dublin City and suburbs,13 to 18,leaving-cert,8
2011,Female,motorbike,Dublin City and suburbs,>=19,university,49
2011,Female,motorbike,Cork City and suburbs,>=15,junior-cert,51
2011,Female,motorbike,Cork City and suburbs,5 to 12,primary-school,0
2011,Female,motorbike,Cork City and suburbs,13 to 18,leaving-cert,8
2011,Female,motorbike,Cork City and suburbs,>=19,university,12
2011,Female,motorbike,Limerick City and suburbs,>=15,junior-cert,23
2011,Female,motorbike,Limerick City and suburbs,5 to 12,primary-school,0
2011,Female,motorbike,Limerick City and suburbs,13 to 18,leaving-cert,1
2011,Female,motorbike,Limerick City and suburbs,>=19,university,5
2011,Female,motorbike,Galway City and suburbs,>=15,junior-cert,14
2011,Female,motorbike,Galway City and suburbs,5 to 12,primary-school,0
2011,Female,motorbike,Galway City and suburbs,13 to 18,leaving-cert,3
2011,Female,motorbike,Galway City and suburbs,>=19,university,2
2011,Female,motorbike,Waterford City and suburbs,>=15,junior-cert,12
2011,Female,motorbike,Waterford City and suburbs,5 to 12,primary-school,0
2011,Female,motorbike,Waterford City and suburbs,13 to 18,leaving-cert,0
2011,Female,motorbike,Waterford City and suburbs,>=19,university,0
2011,Female,motorbike,"Towns 10,000 population and over",>=15,junior-cert,136
