"Statistic","CensusYear","Age Group","Sex","Travelling Time","UNIT","VALUE"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Male","Total time travelling","Number","87628"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Male","< ¼ hour","Number","21566"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Male","¼ hour - < ½ hour","Number","25580"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Male","½ hour - < ¾ hour","Number","18352"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Male","¾ hour - < 1 hour","Number","6086"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Male","1 hour - < 1½ hours","Number","5732"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Male","1½ hours and over","Number","2228"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Male","Not stated","Number","8084"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Female","Total time travelling","Number","78899"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Female","< ¼ hour","Number","23606"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Female","¼ hour - < ½ hour","Number","27283"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Female","½ hour - < ¾ hour","Number","14772"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Female","¾ hour - < 1 hour","Number","4842"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Female","1 hour - < 1½ hours","Number","3377"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Female","1½ hours and over","Number","943"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","50 - 54 years","Female","Not stated","Number","4076"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Both sexes","Total time travelling","Number","125196"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Both sexes","< ¼ hour","Number","34723"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Both sexes","¼ hour - < ½ hour","Number","39380"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Both sexes","½ hour - < ¾ hour","Number","23901"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Both sexes","¾ hour - < 1 hour","Number","7474"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Both sexes","1 hour - < 1½ hours","Number","6126"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Both sexes","1½ hours and over","Number","2110"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Both sexes","Not stated","Number","11482"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Male","Total time travelling","Number","68150"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Male","< ¼ hour","Number","17526"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Male","¼ hour - < ½ hour","Number","19676"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Male","½ hour - < ¾ hour","Number","13698"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Male","¾ hour - < 1 hour","Number","4306"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Male","1 hour - < 1½ hours","Number","3957"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Male","1½ hours and over","Number","1481"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Male","Not stated","Number","7506"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Female","Total time travelling","Number","57046"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Female","< ¼ hour","Number","17197"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Female","¼ hour - < ½ hour","Number","19704"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Female","½ hour - < ¾ hour","Number","10203"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Female","¾ hour - < 1 hour","Number","3168"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Female","1 hour - < 1½ hours","Number","2169"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Female","1½ hours and over","Number","629"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","55 - 59 years","Female","Not stated","Number","3976"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Both sexes","Total time travelling","Number","76309"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Both sexes","< ¼ hour","Number","21600"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Both sexes","¼ hour - < ½ hour","Number","22366"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Both sexes","½ hour - < ¾ hour","Number","13313"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Both sexes","¾ hour - < 1 hour","Number","3837"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Both sexes","1 hour - < 1½ hours","Number","3288"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Both sexes","1½ hours and over","Number","1155"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Both sexes","Not stated","Number","10750"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Male","Total time travelling","Number","44019"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Male","< ¼ hour","Number","11726"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Male","¼ hour - < ½ hour","Number","11885"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Male","½ hour - < ¾ hour","Number","8129"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Male","¾ hour - < 1 hour","Number","2322"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Male","1 hour - < 1½ hours","Number","2275"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Male","1½ hours and over","Number","861"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Male","Not stated","Number","6821"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Female","Total time travelling","Number","32290"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Female","< ¼ hour","Number","9874"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Female","¼ hour - < ½ hour","Number","10481"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Female","½ hour - < ¾ hour","Number","5184"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Female","¾ hour - < 1 hour","Number","1515"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Female","1 hour - < 1½ hours","Number","1013"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Female","1½ hours and over","Number","294"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","60 - 64 years","Female","Not stated","Number","3929"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Both sexes","Total time travelling","Number","21184"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Both sexes","< ¼ hour","Number","6326"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Both sexes","¼ hour - < ½ hour","Number","5208"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Both sexes","½ hour - < ¾ hour","Number","3060"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Both sexes","¾ hour - < 1 hour","Number","890"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Both sexes","1 hour - < 1½ hours","Number","809"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Both sexes","1½ hours and over","Number","339"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Both sexes","Not stated","Number","4552"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Male","Total time travelling","Number","13593"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Male","< ¼ hour","Number","3865"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Male","¼ hour - < ½ hour","Number","3027"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Male","½ hour - < ¾ hour","Number","2055"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Male","¾ hour - < 1 hour","Number","617"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Male","1 hour - < 1½ hours","Number","578"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Male","1½ hours and over","Number","246"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Male","Not stated","Number","3205"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Female","Total time travelling","Number","7591"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Female","< ¼ hour","Number","2461"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Female","¼ hour - < ½ hour","Number","2181"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Female","½ hour - < ¾ hour","Number","1005"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Female","¾ hour - < 1 hour","Number","273"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Female","1 hour - < 1½ hours","Number","231"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Female","1½ hours and over","Number","93"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","65 - 69 years","Female","Not stated","Number","1347"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Both sexes","Total time travelling","Number","12614"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Both sexes","< ¼ hour","Number","3109"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Both sexes","¼ hour - < ½ hour","Number","2089"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Both sexes","½ hour - < ¾ hour","Number","1124"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Both sexes","¾ hour - < 1 hour","Number","289"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Both sexes","1 hour - < 1½ hours","Number","277"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Both sexes","1½ hours and over","Number","97"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Both sexes","Not stated","Number","5629"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Male","Total time travelling","Number","8812"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Male","< ¼ hour","Number","2237"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Male","¼ hour - < ½ hour","Number","1382"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Male","½ hour - < ¾ hour","Number","796"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Male","¾ hour - < 1 hour","Number","207"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Male","1 hour - < 1½ hours","Number","193"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Male","1½ hours and over","Number","79"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Male","Not stated","Number","3918"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Female","Total time travelling","Number","3802"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Female","< ¼ hour","Number","872"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Female","¼ hour - < ½ hour","Number","707"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Female","½ hour - < ¾ hour","Number","328"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Female","¾ hour - < 1 hour","Number","82"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Female","1 hour - < 1½ hours","Number","84"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Female","1½ hours and over","Number","18"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2011","70 years and over","Female","Not stated","Number","1711"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Both sexes","Total time travelling","Number","1875773"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Both sexes","< ¼ hour","Number","430221"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Both sexes","¼ hour - < ½ hour","Number","550257"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Both sexes","½ hour - < ¾ hour","Number","396252"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Both sexes","¾ hour - < 1 hour","Number","143351"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Both sexes","1 hour - < 1½ hours","Number","147124"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Both sexes","1½ hours and over","Number","52798"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Both sexes","Not stated","Number","155770"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Male","Total time travelling","Number","991957"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Male","< ¼ hour","Number","212383"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Male","¼ hour - < ½ hour","Number","270912"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Male","½ hour - < ¾ hour","Number","212636"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Male","¾ hour - < 1 hour","Number","76035"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Male","1 hour - < 1½ hours","Number","87751"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Male","1½ hours and over","Number","35163"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Male","Not stated","Number","97077"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Female","Total time travelling","Number","883816"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Female","< ¼ hour","Number","217838"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Female","¼ hour - < ½ hour","Number","279345"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Female","½ hour - < ¾ hour","Number","183616"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Female","¾ hour - < 1 hour","Number","67316"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Female","1 hour - < 1½ hours","Number","59373"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Female","1½ hours and over","Number","17635"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","All ages","Female","Not stated","Number","58693"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Both sexes","Total time travelling","Number","17752"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Both sexes","< ¼ hour","Number","4263"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Both sexes","¼ hour - < ½ hour","Number","4985"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Both sexes","½ hour - < ¾ hour","Number","2937"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Both sexes","¾ hour - < 1 hour","Number","807"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Both sexes","1 hour - < 1½ hours","Number","1063"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Both sexes","1½ hours and over","Number","425"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Both sexes","Not stated","Number","3272"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Male","Total time travelling","Number","10523"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Male","< ¼ hour","Number","2452"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Male","¼ hour - < ½ hour","Number","2874"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Male","½ hour - < ¾ hour","Number","1819"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Male","¾ hour - < 1 hour","Number","507"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Male","1 hour - < 1½ hours","Number","732"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Male","1½ hours and over","Number","287"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Male","Not stated","Number","1852"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Female","Total time travelling","Number","7229"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Female","< ¼ hour","Number","1811"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Female","¼ hour - < ½ hour","Number","2111"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Female","½ hour - < ¾ hour","Number","1118"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Female","¾ hour - < 1 hour","Number","300"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Female","1 hour - < 1½ hours","Number","331"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Female","1½ hours and over","Number","138"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","15 - 19 years","Female","Not stated","Number","1420"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Both sexes","Total time travelling","Number","116287"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Both sexes","< ¼ hour","Number","26543"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Both sexes","¼ hour - < ½ hour","Number","35594"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Both sexes","½ hour - < ¾ hour","Number","23739"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Both sexes","¾ hour - < 1 hour","Number","7962"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Both sexes","1 hour - < 1½ hours","Number","9003"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Both sexes","1½ hours and over","Number","3348"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Both sexes","Not stated","Number","10098"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Male","Total time travelling","Number","60414"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Male","< ¼ hour","Number","13311"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Male","¼ hour - < ½ hour","Number","17932"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Male","½ hour - < ¾ hour","Number","12367"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Male","¾ hour - < 1 hour","Number","4154"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Male","1 hour - < 1½ hours","Number","4888"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Male","1½ hours and over","Number","2041"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Male","Not stated","Number","5721"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Female","Total time travelling","Number","55873"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Female","< ¼ hour","Number","13232"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Female","¼ hour - < ½ hour","Number","17662"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Female","½ hour - < ¾ hour","Number","11372"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Female","¾ hour - < 1 hour","Number","3808"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Female","1 hour - < 1½ hours","Number","4115"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Female","1½ hours and over","Number","1307"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","20 - 24 years","Female","Not stated","Number","4377"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Both sexes","Total time travelling","Number","206937"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Both sexes","< ¼ hour","Number","44369"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Both sexes","¼ hour - < ½ hour","Number","61815"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Both sexes","½ hour - < ¾ hour","Number","44519"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Both sexes","¾ hour - < 1 hour","Number","15724"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Both sexes","1 hour - < 1½ hours","Number","15920"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Both sexes","1½ hours and over","Number","5502"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Both sexes","Not stated","Number","19088"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Male","Total time travelling","Number","103110"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Male","< ¼ hour","Number","21068"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Male","¼ hour - < ½ hour","Number","29402"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Male","½ hour - < ¾ hour","Number","22086"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Male","¾ hour - < 1 hour","Number","7561"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Male","1 hour - < 1½ hours","Number","8537"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Male","1½ hours and over","Number","3240"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Male","Not stated","Number","11216"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Female","Total time travelling","Number","103827"
"Population aged 15 Years and Over at Work, Usually Resident and Present in the State 2011 to 2016","2016","25 - 29 years","Female","< ¼ hour","Number","23301"
