year,sex,means_of_travel,town_size,age_range,edu_status,value
2011,Male,truck,Cork City and suburbs,13-18,at secondary school,2
2011,Male,truck,Cork City and suburbs,19-66,at university,3
2011,Male,truck,Limerick City and suburbs,15-66,working,74
2011,Male,truck,Limerick City and suburbs,5-12,at primary school,3
2011,Male,truck,Limerick City and suburbs,13-18,at secondary school,0
2011,Male,truck,Limerick City and suburbs,19-66,at university,1
2011,Male,truck,Galway City and suburbs,15-66,working,76
2011,Male,truck,Galway City and suburbs,5-12,at primary school,1
2011,Male,truck,Galway City and suburbs,13-18,at secondary school,0
2011,Male,truck,Galway City and suburbs,19-66,at university,5
2011,Male,truck,Waterford City and suburbs,15-66,working,52
2011,Male,truck,Waterford City and suburbs,5-12,at primary school,1
2011,Male,truck,Waterford City and suburbs,13-18,at secondary school,0
2011,Male,truck,Waterford City and suburbs,19-66,at university,1
2011,Male,truck,"Towns 10,000 population and over",15-66,working,1007
2011,Male,truck,"Towns 10,000 population and over",5-12,at primary school,18
2011,Male,truck,"Towns 10,000 population and over",13-18,at secondary school,6
2011,Male,truck,"Towns 10,000 population and over",19-66,at university,9
2011,Male,truck,"Towns 5,000 - 9,999 population",15-66,working,534
2011,Male,truck,"Towns 5,000 - 9,999 population",5-12,at primary school,5
2011,Male,truck,"Towns 5,000 - 9,999 population",13-18,at secondary school,3
2011,Male,truck,"Towns 5,000 - 9,999 population",19-66,at university,3
2011,Male,truck,"Towns 2,000 - 4,999 population",15-66,working,503
2011,Male,truck,"Towns 2,000 - 4,999 population",5-12,at primary school,4
2011,Male,truck,"Towns 2,000 - 4,999 population",13-18,at secondary school,1
2011,Male,truck,"Towns 2,000 - 4,999 population",19-66,at university,3
2011,Male,truck,"Towns 1,500 - 1,999 population",15-66,working,163
2011,Male,truck,"Towns 1,500 - 1,999 population",5-12,at primary school,0
2011,Male,truck,"Towns 1,500 - 1,999 population",13-18,at secondary school,0
2011,Male,truck,"Towns 1,500 - 1,999 population",19-66,at university,1
2011,Male,truck,"Towns 1,000 - 1,499 population",15-66,working,267
2011,Male,truck,"Towns 1,000 - 1,499 population",5-12,at primary school,2
2011,Male,truck,"Towns 1,000 - 1,499 population",13-18,at secondary school,0
2011,Male,truck,"Towns 1,000 - 1,499 population",19-66,at university,2
2011,Male,truck,Total Towns 500 - 999 population,15-66,working,420
2011,Male,truck,Total Towns 500 - 999 population,5-12,at primary school,4
2011,Male,truck,Total Towns 500 - 999 population,13-18,at secondary school,0
2011,Male,truck,Total Towns 500 - 999 population,19-66,at university,1
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,15-66,working,500
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,3
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,3
2011,Male,truck,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,1
2011,Male,truck,Remainder of country,15-66,working,9575
2011,Male,truck,Remainder of country,5-12,at primary school,29
2011,Male,truck,Remainder of country,13-18,at secondary school,36
2011,Male,truck,Remainder of country,19-66,at university,21
2011,Male,remote,Dublin City and suburbs,15-66,working,5683
2011,Male,remote,Dublin City and suburbs,5-12,at primary school,32
2011,Male,remote,Dublin City and suburbs,13-18,at secondary school,27
2011,Male,remote,Dublin City and suburbs,19-66,at university,78
2011,Male,remote,Cork City and suburbs,15-66,working,828
2011,Male,remote,Cork City and suburbs,5-12,at primary school,5
2011,Male,remote,Cork City and suburbs,13-18,at secondary school,1
2011,Male,remote,Cork City and suburbs,19-66,at university,11
2011,Male,remote,Limerick City and suburbs,15-66,working,340
2011,Male,remote,Limerick City and suburbs,5-12,at primary school,1
2011,Male,remote,Limerick City and suburbs,13-18,at secondary school,3
2011,Male,remote,Limerick City and suburbs,19-66,at university,4
2011,Male,remote,Galway City and suburbs,15-66,working,397
2011,Male,remote,Galway City and suburbs,5-12,at primary school,0
2011,Male,remote,Galway City and suburbs,13-18,at secondary school,2
2011,Male,remote,Galway City and suburbs,19-66,at university,5
2011,Male,remote,Waterford City and suburbs,15-66,working,177
2011,Male,remote,Waterford City and suburbs,5-12,at primary school,0
2011,Male,remote,Waterford City and suburbs,13-18,at secondary school,1
2011,Male,remote,Waterford City and suburbs,19-66,at university,2
2011,Male,remote,"Towns 10,000 population and over",15-66,working,3196
2011,Male,remote,"Towns 10,000 population and over",5-12,at primary school,22
2011,Male,remote,"Towns 10,000 population and over",13-18,at secondary school,14
2011,Male,remote,"Towns 10,000 population and over",19-66,at university,35
2011,Male,remote,"Towns 5,000 - 9,999 population",15-66,working,1382
2011,Male,remote,"Towns 5,000 - 9,999 population",5-12,at primary school,4
2011,Male,remote,"Towns 5,000 - 9,999 population",13-18,at secondary school,6
2011,Male,remote,"Towns 5,000 - 9,999 population",19-66,at university,10
2011,Male,remote,"Towns 2,000 - 4,999 population",15-66,working,1239
2011,Male,remote,"Towns 2,000 - 4,999 population",5-12,at primary school,8
2011,Male,remote,"Towns 2,000 - 4,999 population",13-18,at secondary school,6
2011,Male,remote,"Towns 2,000 - 4,999 population",19-66,at university,8
2011,Male,remote,"Towns 1,500 - 1,999 population",15-66,working,445
2011,Male,remote,"Towns 1,500 - 1,999 population",5-12,at primary school,0
2011,Male,remote,"Towns 1,500 - 1,999 population",13-18,at secondary school,1
2011,Male,remote,"Towns 1,500 - 1,999 population",19-66,at university,5
2011,Male,remote,"Towns 1,000 - 1,499 population",15-66,working,634
2011,Male,remote,"Towns 1,000 - 1,499 population",5-12,at primary school,0
2011,Male,remote,"Towns 1,000 - 1,499 population",13-18,at secondary school,3
2011,Male,remote,"Towns 1,000 - 1,499 population",19-66,at university,2
2011,Male,remote,Total Towns 500 - 999 population,15-66,working,1028
2011,Male,remote,Total Towns 500 - 999 population,5-12,at primary school,0
2011,Male,remote,Total Towns 500 - 999 population,13-18,at secondary school,2
2011,Male,remote,Total Towns 500 - 999 population,19-66,at university,7
2011,Male,remote,Towns under 500 population but with at least 50 inhabited houses,15-66,working,1257
2011,Male,remote,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,8
2011,Male,remote,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,5
2011,Male,remote,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,0
2011,Male,remote,Remainder of country,15-66,working,42672
2011,Male,remote,Remainder of country,5-12,at primary school,55
2011,Male,remote,Remainder of country,13-18,at secondary school,66
2011,Male,remote,Remainder of country,19-66,at university,72
2011,Female,walking,Dublin City and suburbs,15-66,working,37723
2011,Female,walking,Dublin City and suburbs,5-12,at primary school,21448
2011,Female,walking,Dublin City and suburbs,13-18,at secondary school,12969
2011,Female,walking,Dublin City and suburbs,19-66,at university,6920
2011,Female,walking,Cork City and suburbs,15-66,working,6466
2011,Female,walking,Cork City and suburbs,5-12,at primary school,2550
2011,Female,walking,Cork City and suburbs,13-18,at secondary school,1836
2011,Female,walking,Cork City and suburbs,19-66,at university,2415
2011,Female,walking,Limerick City and suburbs,15-66,working,2942
2011,Female,walking,Limerick City and suburbs,5-12,at primary school,1446
2011,Female,walking,Limerick City and suburbs,13-18,at secondary school,875
2011,Female,walking,Limerick City and suburbs,19-66,at university,1194
2011,Female,walking,Galway City and suburbs,15-66,working,2849
2011,Female,walking,Galway City and suburbs,5-12,at primary school,628
2011,Female,walking,Galway City and suburbs,13-18,at secondary school,382
2011,Female,walking,Galway City and suburbs,19-66,at university,1740
2011,Female,walking,Waterford City and suburbs,15-66,working,1480
2011,Female,walking,Waterford City and suburbs,5-12,at primary school,628
2011,Female,walking,Waterford City and suburbs,13-18,at secondary school,576
2011,Female,walking,Waterford City and suburbs,19-66,at university,482
2011,Female,walking,"Towns 10,000 population and over",15-66,working,20592
2011,Female,walking,"Towns 10,000 population and over",5-12,at primary school,11632
2011,Female,walking,"Towns 10,000 population and over",13-18,at secondary school,8525
2011,Female,walking,"Towns 10,000 population and over",19-66,at university,4193
2011,Female,walking,"Towns 5,000 - 9,999 population",15-66,working,7636
2011,Female,walking,"Towns 5,000 - 9,999 population",5-12,at primary school,5665
2011,Female,walking,"Towns 5,000 - 9,999 population",13-18,at secondary school,4053
2011,Female,walking,"Towns 5,000 - 9,999 population",19-66,at university,1043
2011,Female,walking,"Towns 2,000 - 4,999 population",15-66,working,5695
2011,Female,walking,"Towns 2,000 - 4,999 population",5-12,at primary school,3811
2011,Female,walking,"Towns 2,000 - 4,999 population",13-18,at secondary school,2825
2011,Female,walking,"Towns 2,000 - 4,999 population",19-66,at university,779
2011,Female,walking,"Towns 1,500 - 1,999 population",15-66,working,1416
2011,Female,walking,"Towns 1,500 - 1,999 population",5-12,at primary school,1297
2011,Female,walking,"Towns 1,500 - 1,999 population",13-18,at secondary school,510
2011,Female,walking,"Towns 1,500 - 1,999 population",19-66,at university,245
2011,Female,walking,"Towns 1,000 - 1,499 population",15-66,working,1743
2011,Female,walking,"Towns 1,000 - 1,499 population",5-12,at primary school,1751
2011,Female,walking,"Towns 1,000 - 1,499 population",13-18,at secondary school,816
2011,Female,walking,"Towns 1,000 - 1,499 population",19-66,at university,303
2011,Female,walking,Total Towns 500 - 999 population,15-66,working,2065
2011,Female,walking,Total Towns 500 - 999 population,5-12,at primary school,2502
2011,Female,walking,Total Towns 500 - 999 population,13-18,at secondary school,676
2011,Female,walking,Total Towns 500 - 999 population,19-66,at university,414
2011,Female,walking,Towns under 500 population but with at least 50 inhabited houses,15-66,working,1398
2011,Female,walking,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,2230
2011,Female,walking,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,290
2011,Female,walking,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,427
2011,Female,walking,Remainder of country,15-66,working,4791
2011,Female,walking,Remainder of country,5-12,at primary school,2949
2011,Female,walking,Remainder of country,13-18,at secondary school,2170
2011,Female,walking,Remainder of country,19-66,at university,7411
2011,Female,bike,Dublin City and suburbs,15-66,working,7252
2011,Female,bike,Dublin City and suburbs,5-12,at primary school,714
2011,Female,bike,Dublin City and suburbs,13-18,at secondary school,310
2011,Female,bike,Dublin City and suburbs,19-66,at university,1355
2011,Female,bike,Cork City and suburbs,15-66,working,416
2011,Female,bike,Cork City and suburbs,5-12,at primary school,17
2011,Female,bike,Cork City and suburbs,13-18,at secondary school,10
2011,Female,bike,Cork City and suburbs,19-66,at university,163
2011,Female,bike,Limerick City and suburbs,15-66,working,132
2011,Female,bike,Limerick City and suburbs,5-12,at primary school,13
2011,Female,bike,Limerick City and suburbs,13-18,at secondary school,13
2011,Female,bike,Limerick City and suburbs,19-66,at university,75
2011,Female,bike,Galway City and suburbs,15-66,working,474
2011,Female,bike,Galway City and suburbs,5-12,at primary school,31
2011,Female,bike,Galway City and suburbs,13-18,at secondary school,23
2011,Female,bike,Galway City and suburbs,19-66,at university,183
2011,Female,bike,Waterford City and suburbs,15-66,working,59
2011,Female,bike,Waterford City and suburbs,5-12,at primary school,1
2011,Female,bike,Waterford City and suburbs,13-18,at secondary school,2
2011,Female,bike,Waterford City and suburbs,19-66,at university,21
2011,Female,bike,"Towns 10,000 population and over",15-66,working,1106
2011,Female,bike,"Towns 10,000 population and over",5-12,at primary school,319
2011,Female,bike,"Towns 10,000 population and over",13-18,at secondary school,63
2011,Female,bike,"Towns 10,000 population and over",19-66,at university,144
2011,Female,bike,"Towns 5,000 - 9,999 population",15-66,working,299
2011,Female,bike,"Towns 5,000 - 9,999 population",5-12,at primary school,176
2011,Female,bike,"Towns 5,000 - 9,999 population",13-18,at secondary school,20
2011,Female,bike,"Towns 5,000 - 9,999 population",19-66,at university,31
2011,Female,bike,"Towns 2,000 - 4,999 population",15-66,working,192
2011,Female,bike,"Towns 2,000 - 4,999 population",5-12,at primary school,60
2011,Female,bike,"Towns 2,000 - 4,999 population",13-18,at secondary school,8
2011,Female,bike,"Towns 2,000 - 4,999 population",19-66,at university,28
2011,Female,bike,"Towns 1,500 - 1,999 population",15-66,working,48
2011,Female,bike,"Towns 1,500 - 1,999 population",5-12,at primary school,20
2011,Female,bike,"Towns 1,500 - 1,999 population",13-18,at secondary school,2
2011,Female,bike,"Towns 1,500 - 1,999 population",19-66,at university,6
2011,Female,bike,"Towns 1,000 - 1,499 population",15-66,working,62
2011,Female,bike,"Towns 1,000 - 1,499 population",5-12,at primary school,32
2011,Female,bike,"Towns 1,000 - 1,499 population",13-18,at secondary school,4
2011,Female,bike,"Towns 1,000 - 1,499 population",19-66,at university,5
2011,Female,bike,Total Towns 500 - 999 population,15-66,working,60
2011,Female,bike,Total Towns 500 - 999 population,5-12,at primary school,32
2011,Female,bike,Total Towns 500 - 999 population,13-18,at secondary school,1
2011,Female,bike,Total Towns 500 - 999 population,19-66,at university,5
2011,Female,bike,Towns under 500 population but with at least 50 inhabited houses,15-66,working,48
2011,Female,bike,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,58
2011,Female,bike,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,0
2011,Female,bike,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,20
2011,Female,bike,Remainder of country,15-66,working,580
2011,Female,bike,Remainder of country,5-12,at primary school,322
2011,Female,bike,Remainder of country,13-18,at secondary school,73
2011,Female,bike,Remainder of country,19-66,at university,279
2011,Female,bus,Dublin City and suburbs,15-66,working,35344
2011,Female,bus,Dublin City and suburbs,5-12,at primary school,2849
2011,Female,bus,Dublin City and suburbs,13-18,at secondary school,8231
2011,Female,bus,Dublin City and suburbs,19-66,at university,10226
2011,Female,bus,Cork City and suburbs,15-66,working,2733
2011,Female,bus,Cork City and suburbs,5-12,at primary school,320
2011,Female,bus,Cork City and suburbs,13-18,at secondary school,985
2011,Female,bus,Cork City and suburbs,19-66,at university,981
2011,Female,bus,Limerick City and suburbs,15-66,working,748
2011,Female,bus,Limerick City and suburbs,5-12,at primary school,165
2011,Female,bus,Limerick City and suburbs,13-18,at secondary school,539
2011,Female,bus,Limerick City and suburbs,19-66,at university,326
2011,Female,bus,Galway City and suburbs,15-66,working,1074
2011,Female,bus,Galway City and suburbs,5-12,at primary school,177
2011,Female,bus,Galway City and suburbs,13-18,at secondary school,557
2011,Female,bus,Galway City and suburbs,19-66,at university,364
2011,Female,bus,Waterford City and suburbs,15-66,working,297
2011,Female,bus,Waterford City and suburbs,5-12,at primary school,111
2011,Female,bus,Waterford City and suburbs,13-18,at secondary school,153
2011,Female,bus,Waterford City and suburbs,19-66,at university,111
2011,Female,bus,"Towns 10,000 population and over",15-66,working,6289
2011,Female,bus,"Towns 10,000 population and over",5-12,at primary school,3377
2011,Female,bus,"Towns 10,000 population and over",13-18,at secondary school,3660
2011,Female,bus,"Towns 10,000 population and over",19-66,at university,3067
2011,Female,bus,"Towns 5,000 - 9,999 population",15-66,working,1895
2011,Female,bus,"Towns 5,000 - 9,999 population",5-12,at primary school,1298
2011,Female,bus,"Towns 5,000 - 9,999 population",13-18,at secondary school,1332
2011,Female,bus,"Towns 5,000 - 9,999 population",19-66,at university,931
2011,Female,bus,"Towns 2,000 - 4,999 population",15-66,working,1057
2011,Female,bus,"Towns 2,000 - 4,999 population",5-12,at primary school,878
2011,Female,bus,"Towns 2,000 - 4,999 population",13-18,at secondary school,1240
2011,Female,bus,"Towns 2,000 - 4,999 population",19-66,at university,680
2011,Female,bus,"Towns 1,500 - 1,999 population",15-66,working,185
2011,Female,bus,"Towns 1,500 - 1,999 population",5-12,at primary school,189
2011,Female,bus,"Towns 1,500 - 1,999 population",13-18,at secondary school,742
2011,Female,bus,"Towns 1,500 - 1,999 population",19-66,at university,165
2011,Female,bus,"Towns 1,000 - 1,499 population",15-66,working,322
2011,Female,bus,"Towns 1,000 - 1,499 population",5-12,at primary school,285
2011,Female,bus,"Towns 1,000 - 1,499 population",13-18,at secondary school,1058
2011,Female,bus,"Towns 1,000 - 1,499 population",19-66,at university,225
2011,Female,bus,Total Towns 500 - 999 population,15-66,working,374
2011,Female,bus,Total Towns 500 - 999 population,5-12,at primary school,481
2011,Female,bus,Total Towns 500 - 999 population,13-18,at secondary school,1789
2011,Female,bus,Total Towns 500 - 999 population,19-66,at university,269
2011,Female,bus,Towns under 500 population but with at least 50 inhabited houses,15-66,working,256
2011,Female,bus,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,682
2011,Female,bus,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,2303
2011,Female,bus,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,301
2011,Female,bus,Remainder of country,15-66,working,2507
2011,Female,bus,Remainder of country,5-12,at primary school,18234
2011,Female,bus,Remainder of country,13-18,at secondary school,25421
2011,Female,bus,Remainder of country,19-66,at university,3519
2011,Female,train,Dublin City and suburbs,15-66,working,17463
2011,Female,train,Dublin City and suburbs,5-12,at primary school,225
2011,Female,train,Dublin City and suburbs,13-18,at secondary school,1352
2011,Female,train,Dublin City and suburbs,19-66,at university,2961
2011,Female,train,Cork City and suburbs,15-66,working,85
2011,Female,train,Cork City and suburbs,5-12,at primary school,6
2011,Female,train,Cork City and suburbs,13-18,at secondary school,19
2011,Female,train,Cork City and suburbs,19-66,at university,41
2011,Female,train,Limerick City and suburbs,15-66,working,19
2011,Female,train,Limerick City and suburbs,5-12,at primary school,1
2011,Female,train,Limerick City and suburbs,13-18,at secondary school,2
2011,Female,train,Limerick City and suburbs,19-66,at university,10
2011,Female,train,Galway City and suburbs,15-66,working,20
2011,Female,train,Galway City and suburbs,5-12,at primary school,0
2011,Female,train,Galway City and suburbs,13-18,at secondary school,5
2011,Female,train,Galway City and suburbs,19-66,at university,12
2011,Female,train,Waterford City and suburbs,15-66,working,13
2011,Female,train,Waterford City and suburbs,5-12,at primary school,0
2011,Female,train,Waterford City and suburbs,13-18,at secondary school,1
2011,Female,train,Waterford City and suburbs,19-66,at university,10
2011,Female,train,"Towns 10,000 population and over",15-66,working,4950
2011,Female,train,"Towns 10,000 population and over",5-12,at primary school,37
2011,Female,train,"Towns 10,000 population and over",13-18,at secondary school,538
2011,Female,train,"Towns 10,000 population and over",19-66,at university,1283
2011,Female,train,"Towns 5,000 - 9,999 population",15-66,working,2413
2011,Female,train,"Towns 5,000 - 9,999 population",5-12,at primary school,15
2011,Female,train,"Towns 5,000 - 9,999 population",13-18,at secondary school,352
2011,Female,train,"Towns 5,000 - 9,999 population",19-66,at university,477
2011,Female,train,"Towns 2,000 - 4,999 population",15-66,working,451
2011,Female,train,"Towns 2,000 - 4,999 population",5-12,at primary school,7
2011,Female,train,"Towns 2,000 - 4,999 population",13-18,at secondary school,48
2011,Female,train,"Towns 2,000 - 4,999 population",19-66,at university,97
2011,Female,train,"Towns 1,500 - 1,999 population",15-66,working,97
2011,Female,train,"Towns 1,500 - 1,999 population",5-12,at primary school,2
2011,Female,train,"Towns 1,500 - 1,999 population",13-18,at secondary school,12
2011,Female,train,"Towns 1,500 - 1,999 population",19-66,at university,35
2011,Female,train,"Towns 1,000 - 1,499 population",15-66,working,132
2011,Female,train,"Towns 1,000 - 1,499 population",5-12,at primary school,2
2011,Female,train,"Towns 1,000 - 1,499 population",13-18,at secondary school,28
2011,Female,train,"Towns 1,000 - 1,499 population",19-66,at university,54
2011,Female,train,Total Towns 500 - 999 population,15-66,working,140
2011,Female,train,Total Towns 500 - 999 population,5-12,at primary school,2
2011,Female,train,Total Towns 500 - 999 population,13-18,at secondary school,28
2011,Female,train,Total Towns 500 - 999 population,19-66,at university,58
2011,Female,train,Towns under 500 population but with at least 50 inhabited houses,15-66,working,102
2011,Female,train,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,0
2011,Female,train,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,22
2011,Female,train,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,55
2011,Female,train,Remainder of country,15-66,working,1212
2011,Female,train,Remainder of country,5-12,at primary school,23
2011,Female,train,Remainder of country,13-18,at secondary school,307
2011,Female,train,Remainder of country,19-66,at university,747
2011,Female,motorbike,Dublin City and suburbs,15-66,working,468
2011,Female,motorbike,Dublin City and suburbs,5-12,at primary school,0
2011,Female,motorbike,Dublin City and suburbs,13-18,at secondary school,8
2011,Female,motorbike,Dublin City and suburbs,19-66,at university,49
2011,Female,motorbike,Cork City and suburbs,15-66,working,51
2011,Female,motorbike,Cork City and suburbs,5-12,at primary school,0
2011,Female,motorbike,Cork City and suburbs,13-18,at secondary school,8
2011,Female,motorbike,Cork City and suburbs,19-66,at university,12
2011,Female,motorbike,Limerick City and suburbs,15-66,working,23
2011,Female,motorbike,Limerick City and suburbs,5-12,at primary school,0
2011,Female,motorbike,Limerick City and suburbs,13-18,at secondary school,1
2011,Female,motorbike,Limerick City and suburbs,19-66,at university,5
2011,Female,motorbike,Galway City and suburbs,15-66,working,14
2011,Female,motorbike,Galway City and suburbs,5-12,at primary school,0
2011,Female,motorbike,Galway City and suburbs,13-18,at secondary school,3
2011,Female,motorbike,Galway City and suburbs,19-66,at university,2
2011,Female,motorbike,Waterford City and suburbs,15-66,working,12
2011,Female,motorbike,Waterford City and suburbs,5-12,at primary school,0
2011,Female,motorbike,Waterford City and suburbs,13-18,at secondary school,0
2011,Female,motorbike,Waterford City and suburbs,19-66,at university,0
2011,Female,motorbike,"Towns 10,000 population and over",15-66,working,136
2011,Female,motorbike,"Towns 10,000 population and over",5-12,at primary school,0
2011,Female,motorbike,"Towns 10,000 population and over",13-18,at secondary school,8
2011,Female,motorbike,"Towns 10,000 population and over",19-66,at university,17
2011,Female,motorbike,"Towns 5,000 - 9,999 population",15-66,working,50
2011,Female,motorbike,"Towns 5,000 - 9,999 population",5-12,at primary school,0
2011,Female,motorbike,"Towns 5,000 - 9,999 population",13-18,at secondary school,0
2011,Female,motorbike,"Towns 5,000 - 9,999 population",19-66,at university,0
2011,Female,motorbike,"Towns 2,000 - 4,999 population",15-66,working,37
2011,Female,motorbike,"Towns 2,000 - 4,999 population",5-12,at primary school,0
2011,Female,motorbike,"Towns 2,000 - 4,999 population",13-18,at secondary school,1
2011,Female,motorbike,"Towns 2,000 - 4,999 population",19-66,at university,5
2011,Female,motorbike,"Towns 1,500 - 1,999 population",15-66,working,10
2011,Female,motorbike,"Towns 1,500 - 1,999 population",5-12,at primary school,0
2011,Female,motorbike,"Towns 1,500 - 1,999 population",13-18,at secondary school,2
2011,Female,motorbike,"Towns 1,500 - 1,999 population",19-66,at university,3
2011,Female,motorbike,"Towns 1,000 - 1,499 population",15-66,working,10
2011,Female,motorbike,"Towns 1,000 - 1,499 population",5-12,at primary school,0
2011,Female,motorbike,"Towns 1,000 - 1,499 population",13-18,at secondary school,0
2011,Female,motorbike,"Towns 1,000 - 1,499 population",19-66,at university,1
2011,Female,motorbike,Total Towns 500 - 999 population,15-66,working,19
2011,Female,motorbike,Total Towns 500 - 999 population,5-12,at primary school,0
2011,Female,motorbike,Total Towns 500 - 999 population,13-18,at secondary school,3
2011,Female,motorbike,Total Towns 500 - 999 population,19-66,at university,0
2011,Female,motorbike,Towns under 500 population but with at least 50 inhabited houses,15-66,working,20
2011,Female,motorbike,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,0
2011,Female,motorbike,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,0
2011,Female,motorbike,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,2
2011,Female,motorbike,Remainder of country,15-66,working,261
2011,Female,motorbike,Remainder of country,5-12,at primary school,0
2011,Female,motorbike,Remainder of country,13-18,at secondary school,21
2011,Female,motorbike,Remainder of country,19-66,at university,31
2011,Female,car,Dublin City and suburbs,15-66,working,105950
2011,Female,car,Dublin City and suburbs,5-12,at primary school,0
2011,Female,car,Dublin City and suburbs,13-18,at secondary school,385
2011,Female,car,Dublin City and suburbs,19-66,at university,5258
2011,Female,car,Cork City and suburbs,15-66,working,22985
2011,Female,car,Cork City and suburbs,5-12,at primary school,0
2011,Female,car,Cork City and suburbs,13-18,at secondary school,105
2011,Female,car,Cork City and suburbs,19-66,at university,1311
2011,Female,car,Limerick City and suburbs,15-66,working,9486
2011,Female,car,Limerick City and suburbs,5-12,at primary school,0
2011,Female,car,Limerick City and suburbs,13-18,at secondary school,36
2011,Female,car,Limerick City and suburbs,19-66,at university,879
2011,Female,car,Galway City and suburbs,15-66,working,9105
2011,Female,car,Galway City and suburbs,5-12,at primary school,0
2011,Female,car,Galway City and suburbs,13-18,at secondary school,18
2011,Female,car,Galway City and suburbs,19-66,at university,623
2011,Female,car,Waterford City and suburbs,15-66,working,5953
2011,Female,car,Waterford City and suburbs,5-12,at primary school,0
2011,Female,car,Waterford City and suburbs,13-18,at secondary school,19
2011,Female,car,Waterford City and suburbs,19-66,at university,419
2011,Female,car,"Towns 10,000 population and over",15-66,working,86985
2011,Female,car,"Towns 10,000 population and over",5-12,at primary school,0
2011,Female,car,"Towns 10,000 population and over",13-18,at secondary school,273
2011,Female,car,"Towns 10,000 population and over",19-66,at university,4249
2011,Female,car,"Towns 5,000 - 9,999 population",15-66,working,35355
2011,Female,car,"Towns 5,000 - 9,999 population",5-12,at primary school,0
2011,Female,car,"Towns 5,000 - 9,999 population",13-18,at secondary school,135
2011,Female,car,"Towns 5,000 - 9,999 population",19-66,at university,1742
2011,Female,car,"Towns 2,000 - 4,999 population",15-66,working,28132
2011,Female,car,"Towns 2,000 - 4,999 population",5-12,at primary school,0
2011,Female,car,"Towns 2,000 - 4,999 population",13-18,at secondary school,108
2011,Female,car,"Towns 2,000 - 4,999 population",19-66,at university,1406
2011,Female,car,"Towns 1,500 - 1,999 population",15-66,working,7834
2011,Female,car,"Towns 1,500 - 1,999 population",5-12,at primary school,0
2011,Female,car,"Towns 1,500 - 1,999 population",13-18,at secondary school,40
2011,Female,car,"Towns 1,500 - 1,999 population",19-66,at university,449
2011,Female,car,"Towns 1,000 - 1,499 population",15-66,working,11887
2011,Female,car,"Towns 1,000 - 1,499 population",5-12,at primary school,0
2011,Female,car,"Towns 1,000 - 1,499 population",13-18,at secondary school,58
2011,Female,car,"Towns 1,000 - 1,499 population",19-66,at university,624
2011,Female,car,Total Towns 500 - 999 population,15-66,working,15663
2011,Female,car,Total Towns 500 - 999 population,5-12,at primary school,0
2011,Female,car,Total Towns 500 - 999 population,13-18,at secondary school,99
2011,Female,car,Total Towns 500 - 999 population,19-66,at university,898
2011,Female,car,Towns under 500 population but with at least 50 inhabited houses,15-66,working,15215
2011,Female,car,Towns under 500 population but with at least 50 inhabited houses,5-12,at primary school,0
2011,Female,car,Towns under 500 population but with at least 50 inhabited houses,13-18,at secondary school,90
2011,Female,car,Towns under 500 population but with at least 50 inhabited houses,19-66,at university,923
2011,Female,car,Remainder of country,15-66,working,197088
2011,Female,car,Remainder of country,5-12,at primary school,0
2011,Female,car,Remainder of country,13-18,at secondary school,1389
2011,Female,car,Remainder of country,19-66,at university,10799
2011,Female,carpool,Dublin City and suburbs,15-66,working,9056
2011,Female,carpool,Dublin City and suburbs,5-12,at primary school,23024
2011,Female,carpool,Dublin City and suburbs,13-18,at secondary school,9124
2011,Female,carpool,Dublin City and suburbs,19-66,at university,1161
2011,Female,carpool,Cork City and suburbs,15-66,working,2702
2011,Female,carpool,Cork City and suburbs,5-12,at primary school,5517
2011,Female,carpool,Cork City and suburbs,13-18,at secondary school,3381
2011,Female,carpool,Cork City and suburbs,19-66,at university,743
2011,Female,carpool,Limerick City and suburbs,15-66,working,1105
2011,Female,carpool,Limerick City and suburbs,5-12,at primary school,2358
2011,Female,carpool,Limerick City and suburbs,13-18,at secondary school,1347
2011,Female,carpool,Limerick City and suburbs,19-66,at university,292
2011,Female,carpool,Galway City and suburbs,15-66,working,1046
2011,Female,carpool,Galway City and suburbs,5-12,at primary school,2108
2011,Female,carpool,Galway City and suburbs,13-18,at secondary school,962
