"Statistic","CensusYear","Sex","Means of Travel","Aggregate Town Size","At Work School or College","UNIT","VALUE"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","Remainder of country","Children at school aged between 5 and 12 years","Number","19386"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","Remainder of country","Students at school or college aged between 13 and 18 years","Number","26190"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Bus, minibus or coach","Remainder of country","Students at school or college aged 19 years and over","Number","3009"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","State","All persons","Number","35005"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","State","Population aged 15 years and over at work","Number","25652"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","State","Children at school aged between 5 and 12 years","Number","371"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","State","Students at school or college aged between 13 and 18 years","Number","2926"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","State","Students at school or college aged 19 years and over","Number","6056"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Dublin City and suburbs","All persons","Number","21386"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Dublin City and suburbs","Population aged 15 years and over at work","Number","16019"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","265"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","1863"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","3239"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Cork City and suburbs","All persons","Number","214"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Cork City and suburbs","Population aged 15 years and over at work","Number","164"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","5"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","21"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Cork City and suburbs","Students at school or college aged 19 years and over","Number","24"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Limerick City and suburbs","All persons","Number","58"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Limerick City and suburbs","Population aged 15 years and over at work","Number","36"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","2"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","17"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Galway City and suburbs","All persons","Number","38"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Galway City and suburbs","Population aged 15 years and over at work","Number","28"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Galway City and suburbs","Children at school aged between 5 and 12 years","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Galway City and suburbs","Students at school or college aged between 13 and 18 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Galway City and suburbs","Students at school or college aged 19 years and over","Number","9"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Waterford City and suburbs","All persons","Number","25"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Waterford City and suburbs","Population aged 15 years and over at work","Number","20"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Waterford City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Waterford City and suburbs","Students at school or college aged between 13 and 18 years","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Waterford City and suburbs","Students at school or college aged 19 years and over","Number","4"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 10,000 population and over","All persons","Number","6897"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 10,000 population and over","Population aged 15 years and over at work","Number","5058"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 10,000 population and over","Children at school aged between 5 and 12 years","Number","36"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 10,000 population and over","Students at school or college aged between 13 and 18 years","Number","468"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 10,000 population and over","Students at school or college aged 19 years and over","Number","1335"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 5,000 - 9,999 population","All persons","Number","3037"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 5,000 - 9,999 population","Population aged 15 years and over at work","Number","2273"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 5,000 - 9,999 population","Children at school aged between 5 and 12 years","Number","18"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 5,000 - 9,999 population","Students at school or college aged between 13 and 18 years","Number","229"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 5,000 - 9,999 population","Students at school or college aged 19 years and over","Number","517"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 2,000 - 4,999 population","All persons","Number","491"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 2,000 - 4,999 population","Population aged 15 years and over at work","Number","354"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 2,000 - 4,999 population","Children at school aged between 5 and 12 years","Number","4"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 2,000 - 4,999 population","Students at school or college aged between 13 and 18 years","Number","31"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 2,000 - 4,999 population","Students at school or college aged 19 years and over","Number","102"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 1,500 - 1,999 population","All persons","Number","144"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 1,500 - 1,999 population","Population aged 15 years and over at work","Number","94"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 1,500 - 1,999 population","Children at school aged between 5 and 12 years","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 1,500 - 1,999 population","Students at school or college aged between 13 and 18 years","Number","16"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 1,500 - 1,999 population","Students at school or college aged 19 years and over","Number","33"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 1,000 - 1,499 population","All persons","Number","167"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 1,000 - 1,499 population","Population aged 15 years and over at work","Number","107"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 1,000 - 1,499 population","Children at school aged between 5 and 12 years","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 1,000 - 1,499 population","Students at school or college aged between 13 and 18 years","Number","21"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns 1,000 - 1,499 population","Students at school or college aged 19 years and over","Number","38"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Total Towns 500 - 999 population","All persons","Number","219"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Total Towns 500 - 999 population","Population aged 15 years and over at work","Number","159"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Total Towns 500 - 999 population","Children at school aged between 5 and 12 years","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Total Towns 500 - 999 population","Students at school or college aged between 13 and 18 years","Number","17"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Total Towns 500 - 999 population","Students at school or college aged 19 years and over","Number","40"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns under 500 population but with at least 50 inhabited houses","All persons","Number","180"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns under 500 population but with at least 50 inhabited houses","Population aged 15 years and over at work","Number","112"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns under 500 population but with at least 50 inhabited houses","Children at school aged between 5 and 12 years","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged between 13 and 18 years","Number","19"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged 19 years and over","Number","46"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Remainder of country","All persons","Number","2149"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Remainder of country","Population aged 15 years and over at work","Number","1228"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Remainder of country","Children at school aged between 5 and 12 years","Number","31"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Remainder of country","Students at school or college aged between 13 and 18 years","Number","238"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Train, DART or LUAS","Remainder of country","Students at school or college aged 19 years and over","Number","652"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","State","All persons","Number","8019"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","State","Population aged 15 years and over at work","Number","7332"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","State","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","State","Students at school or college aged between 13 and 18 years","Number","181"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","State","Students at school or college aged 19 years and over","Number","506"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Dublin City and suburbs","All persons","Number","4074"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Dublin City and suburbs","Population aged 15 years and over at work","Number","3811"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","28"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","235"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Cork City and suburbs","All persons","Number","473"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Cork City and suburbs","Population aged 15 years and over at work","Number","395"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","29"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Cork City and suburbs","Students at school or college aged 19 years and over","Number","49"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Limerick City and suburbs","All persons","Number","97"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Limerick City and suburbs","Population aged 15 years and over at work","Number","79"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","5"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","13"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Galway City and suburbs","All persons","Number","108"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Galway City and suburbs","Population aged 15 years and over at work","Number","87"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Galway City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Galway City and suburbs","Students at school or college aged between 13 and 18 years","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Galway City and suburbs","Students at school or college aged 19 years and over","Number","18"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Waterford City and suburbs","All persons","Number","83"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Waterford City and suburbs","Population aged 15 years and over at work","Number","75"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Waterford City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Waterford City and suburbs","Students at school or college aged between 13 and 18 years","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Waterford City and suburbs","Students at school or college aged 19 years and over","Number","7"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 10,000 population and over","All persons","Number","1122"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 10,000 population and over","Population aged 15 years and over at work","Number","1043"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 10,000 population and over","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 10,000 population and over","Students at school or college aged between 13 and 18 years","Number","23"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 10,000 population and over","Students at school or college aged 19 years and over","Number","56"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 5,000 - 9,999 population","All persons","Number","419"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 5,000 - 9,999 population","Population aged 15 years and over at work","Number","398"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 5,000 - 9,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 5,000 - 9,999 population","Students at school or college aged between 13 and 18 years","Number","6"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 5,000 - 9,999 population","Students at school or college aged 19 years and over","Number","15"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 2,000 - 4,999 population","All persons","Number","233"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 2,000 - 4,999 population","Population aged 15 years and over at work","Number","219"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 2,000 - 4,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 2,000 - 4,999 population","Students at school or college aged between 13 and 18 years","Number","4"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 2,000 - 4,999 population","Students at school or college aged 19 years and over","Number","10"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 1,500 - 1,999 population","All persons","Number","59"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 1,500 - 1,999 population","Population aged 15 years and over at work","Number","53"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 1,500 - 1,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 1,500 - 1,999 population","Students at school or college aged between 13 and 18 years","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 1,500 - 1,999 population","Students at school or college aged 19 years and over","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 1,000 - 1,499 population","All persons","Number","95"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 1,000 - 1,499 population","Population aged 15 years and over at work","Number","81"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 1,000 - 1,499 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 1,000 - 1,499 population","Students at school or college aged between 13 and 18 years","Number","7"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns 1,000 - 1,499 population","Students at school or college aged 19 years and over","Number","7"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Total Towns 500 - 999 population","All persons","Number","100"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Total Towns 500 - 999 population","Population aged 15 years and over at work","Number","90"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Total Towns 500 - 999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Total Towns 500 - 999 population","Students at school or college aged between 13 and 18 years","Number","3"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Total Towns 500 - 999 population","Students at school or college aged 19 years and over","Number","7"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","All persons","Number","115"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","Population aged 15 years and over at work","Number","100"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged between 13 and 18 years","Number","1"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Towns under 500 population but with at least 50 inhabited houses","Students at school or college aged 19 years and over","Number","14"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Remainder of country","All persons","Number","1041"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Remainder of country","Population aged 15 years and over at work","Number","901"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Remainder of country","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Remainder of country","Students at school or college aged between 13 and 18 years","Number","68"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motorcycle or scooter","Remainder of country","Students at school or college aged 19 years and over","Number","72"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","State","All persons","Number","543423"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","State","Population aged 15 years and over at work","Number","515813"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","State","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","State","Students at school or college aged between 13 and 18 years","Number","3584"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","State","Students at school or college aged 19 years and over","Number","24026"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Dublin City and suburbs","All persons","Number","117409"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Dublin City and suburbs","Population aged 15 years and over at work","Number","112669"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Dublin City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Dublin City and suburbs","Students at school or college aged between 13 and 18 years","Number","329"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Dublin City and suburbs","Students at school or college aged 19 years and over","Number","4411"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Cork City and suburbs","All persons","Number","26054"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Cork City and suburbs","Population aged 15 years and over at work","Number","24613"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Cork City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Cork City and suburbs","Students at school or college aged between 13 and 18 years","Number","139"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Cork City and suburbs","Students at school or college aged 19 years and over","Number","1302"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Limerick City and suburbs","All persons","Number","11260"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Limerick City and suburbs","Population aged 15 years and over at work","Number","10309"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Limerick City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Limerick City and suburbs","Students at school or college aged between 13 and 18 years","Number","55"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Limerick City and suburbs","Students at school or college aged 19 years and over","Number","896"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Galway City and suburbs","All persons","Number","9117"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Galway City and suburbs","Population aged 15 years and over at work","Number","8545"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Galway City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Galway City and suburbs","Students at school or college aged between 13 and 18 years","Number","18"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Galway City and suburbs","Students at school or college aged 19 years and over","Number","554"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Waterford City and suburbs","All persons","Number","6277"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Waterford City and suburbs","Population aged 15 years and over at work","Number","5901"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Waterford City and suburbs","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Waterford City and suburbs","Students at school or college aged between 13 and 18 years","Number","29"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Waterford City and suburbs","Students at school or college aged 19 years and over","Number","347"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 10,000 population and over","All persons","Number","93213"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 10,000 population and over","Population aged 15 years and over at work","Number","89573"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 10,000 population and over","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 10,000 population and over","Students at school or college aged between 13 and 18 years","Number","343"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 10,000 population and over","Students at school or college aged 19 years and over","Number","3297"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 5,000 - 9,999 population","All persons","Number","37986"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 5,000 - 9,999 population","Population aged 15 years and over at work","Number","36559"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 5,000 - 9,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 5,000 - 9,999 population","Students at school or college aged between 13 and 18 years","Number","171"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 5,000 - 9,999 population","Students at school or college aged 19 years and over","Number","1256"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 2,000 - 4,999 population","All persons","Number","28313"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 2,000 - 4,999 population","Population aged 15 years and over at work","Number","27132"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 2,000 - 4,999 population","Children at school aged between 5 and 12 years","Number","0"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 2,000 - 4,999 population","Students at school or college aged between 13 and 18 years","Number","125"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 2,000 - 4,999 population","Students at school or college aged 19 years and over","Number","1056"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 1,500 - 1,999 population","All persons","Number","7828"
"Population  Usually Resident and Present in the State 2011 to 2016","2011","Male","Motor car: Driver","Towns 1,500 - 1,999 population","Population aged 15 years and over at work","Number","7491"
