"Statistic","CensusYear","Sex","Means of Travel","At Work School or College","UNIT","VALUE"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","14772"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Bicycle","Students at school or college aged 19 years and over","Number","4286"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Bus, minibus or coach","All persons","Number","181464"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","51553"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","54271"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","66989"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","8651"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Train, DART or LUAS","All persons","Number","14697"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","9482"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","297"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2562"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","2356"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motorcycle or scooter","All persons","Number","2477"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","2250"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","61"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","166"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motor car: Driver","All persons","Number","140598"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motor car: Driver","Population aged 15 years and over at work","Number","138955"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","280"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","1363"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motor car: Passenger","All persons","Number","161455"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","57932"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","73638"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","27145"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","2740"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Other means (incl. lorry or van)","All persons","Number","6278"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","4257"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","1291"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","594"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","136"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Work mainly at or from home","All persons","Number","39259"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Work mainly at or from home","Population aged 15 years and over at work","Number","36126"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Work mainly at or from home","Children at school aged between 5 and 12 years","Number","513"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Work mainly at or from home","Students at school or college aged between 13 and 18 years","Number","2060"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Work mainly at or from home","Students at school or college aged 19 years and over","Number","560"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Not stated","All persons","Number","44178"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Not stated","Population aged 15 years and over at work","Number","16708"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Not stated","Children at school aged between 5 and 12 years","Number","18206"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","7998"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","Not stated","Students at school or college aged 19 years and over","Number","1266"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","All means of travel","All persons","Number","865711"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","All means of travel","Population aged 15 years and over at work","Number","400352"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","All means of travel","Children at school aged between 5 and 12 years","Number","258362"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","175347"
"Population Usually Resident in the State at Each Census Since 1986","1991","Female","All means of travel","Students at school or college aged 19 years and over","Number","31650"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","On foot","All persons","Number","436941"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","On foot","Population aged 15 years and over at work","Number","148376"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","154776"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","102231"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","On foot","Students at school or college aged 19 years and over","Number","31558"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Bicycle","All persons","Number","99008"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Bicycle","Population aged 15 years and over at work","Number","46432"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","11671"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","28202"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","12703"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Bus, minibus or coach","All persons","Number","369586"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","98289"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","100433"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","142827"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","28037"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Train, DART or LUAS","All persons","Number","34101"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","22568"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","514"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","4657"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","6362"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motorcycle or scooter","All persons","Number","13164"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","12164"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","275"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","725"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motor car: Driver","All persons","Number","606417"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","599282"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","1099"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","6036"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motor car: Passenger","All persons","Number","360953"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","112432"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","167904"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","71695"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","8922"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Other means (incl. lorry or van)","All persons","Number","59291"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","55158"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","2203"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","1378"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","552"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Work mainly at or from home","All persons","Number","172893"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Work mainly at or from home","Population aged 15 years and over at work","Number","158749"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Work mainly at or from home","Children at school aged between 5 and 12 years","Number","4747"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Work mainly at or from home","Students at school or college aged between 13 and 18 years","Number","7085"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Work mainly at or from home","Students at school or college aged 19 years and over","Number","2312"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Not stated","All persons","Number","83981"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Not stated","Population aged 15 years and over at work","Number","40560"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","27293"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","11555"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","4573"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","All means of travel","All persons","Number","2236335"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","All means of travel","Population aged 15 years and over at work","Number","1294010"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","469541"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","371004"
"Population Usually Resident in the State at Each Census Since 1986","1996","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","101780"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","On foot","All persons","Number","209525"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","On foot","Population aged 15 years and over at work","Number","67964"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","On foot","Children at school aged between 5 and 12 years","Number","79164"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","On foot","Students at school or college aged between 13 and 18 years","Number","48906"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","On foot","Students at school or college aged 19 years and over","Number","13491"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Bicycle","All persons","Number","71689"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Bicycle","Population aged 15 years and over at work","Number","33852"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Bicycle","Children at school aged between 5 and 12 years","Number","7837"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","21783"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Bicycle","Students at school or college aged 19 years and over","Number","8217"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Bus, minibus or coach","All persons","Number","171820"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","40512"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","51008"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","67519"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","12781"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Train, DART or LUAS","All persons","Number","17273"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","11489"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","306"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2330"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","3148"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motorcycle or scooter","All persons","Number","11681"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","10874"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","238"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","569"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motor car: Driver","All persons","Number","381788"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motor car: Driver","Population aged 15 years and over at work","Number","378075"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","636"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","3077"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motor car: Passenger","All persons","Number","167847"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","45519"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","84966"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","33103"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","4259"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Other means (incl. lorry or van)","All persons","Number","54024"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","51862"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","1109"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","728"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","325"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Work mainly at or from home","All persons","Number","135827"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Work mainly at or from home","Population aged 15 years and over at work","Number","127913"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Work mainly at or from home","Children at school aged between 5 and 12 years","Number","2410"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Work mainly at or from home","Students at school or college aged between 13 and 18 years","Number","4311"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Work mainly at or from home","Students at school or college aged 19 years and over","Number","1193"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Not stated","All persons","Number","49892"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Not stated","Population aged 15 years and over at work","Number","26711"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Not stated","Children at school aged between 5 and 12 years","Number","14406"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","5946"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","Not stated","Students at school or college aged 19 years and over","Number","2829"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","All means of travel","All persons","Number","1271366"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","All means of travel","Population aged 15 years and over at work","Number","794771"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","All means of travel","Children at school aged between 5 and 12 years","Number","241206"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","185500"
"Population Usually Resident in the State at Each Census Since 1986","1996","Male","All means of travel","Students at school or college aged 19 years and over","Number","49889"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","On foot","All persons","Number","227416"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","On foot","Population aged 15 years and over at work","Number","80412"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","On foot","Children at school aged between 5 and 12 years","Number","75612"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","On foot","Students at school or college aged between 13 and 18 years","Number","53325"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","On foot","Students at school or college aged 19 years and over","Number","18067"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Bicycle","All persons","Number","27319"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Bicycle","Population aged 15 years and over at work","Number","12580"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Bicycle","Children at school aged between 5 and 12 years","Number","3834"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","6419"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Bicycle","Students at school or college aged 19 years and over","Number","4486"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Bus, minibus or coach","All persons","Number","197766"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","57777"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","49425"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","75308"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","15256"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Train, DART or LUAS","All persons","Number","16828"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","11079"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","208"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","2327"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","3214"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motorcycle or scooter","All persons","Number","1483"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","1290"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","37"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","156"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motor car: Driver","All persons","Number","224629"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motor car: Driver","Population aged 15 years and over at work","Number","221207"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","463"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","2959"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motor car: Passenger","All persons","Number","193106"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","66913"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","82938"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","38592"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Motor car: Passenger","Students at school or college aged 19 years and over","Number","4663"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Other means (incl. lorry or van)","All persons","Number","5267"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Other means (incl. lorry or van)","Population aged 15 years and over at work","Number","3296"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Other means (incl. lorry or van)","Children at school aged between 5 and 12 years","Number","1094"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Other means (incl. lorry or van)","Students at school or college aged between 13 and 18 years","Number","650"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Other means (incl. lorry or van)","Students at school or college aged 19 years and over","Number","227"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Work mainly at or from home","All persons","Number","37066"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Work mainly at or from home","Population aged 15 years and over at work","Number","30836"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Work mainly at or from home","Children at school aged between 5 and 12 years","Number","2337"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Work mainly at or from home","Students at school or college aged between 13 and 18 years","Number","2774"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Work mainly at or from home","Students at school or college aged 19 years and over","Number","1119"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Not stated","All persons","Number","34089"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Not stated","Population aged 15 years and over at work","Number","13849"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Not stated","Children at school aged between 5 and 12 years","Number","12887"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Not stated","Students at school or college aged between 13 and 18 years","Number","5609"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","Not stated","Students at school or college aged 19 years and over","Number","1744"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","All means of travel","All persons","Number","964969"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","All means of travel","Population aged 15 years and over at work","Number","499239"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","All means of travel","Children at school aged between 5 and 12 years","Number","228335"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","All means of travel","Students at school or college aged between 13 and 18 years","Number","185504"
"Population Usually Resident in the State at Each Census Since 1986","1996","Female","All means of travel","Students at school or college aged 19 years and over","Number","51891"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","On foot","All persons","Number","423483"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","On foot","Population aged 15 years and over at work","Number","183848"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","On foot","Children at school aged between 5 and 12 years","Number","112511"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","On foot","Students at school or college aged between 13 and 18 years","Number","82616"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","On foot","Students at school or college aged 19 years and over","Number","44508"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Bicycle","All persons","Number","57842"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Bicycle","Population aged 15 years and over at work","Number","34250"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Bicycle","Children at school aged between 5 and 12 years","Number","4828"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Bicycle","Students at school or college aged between 13 and 18 years","Number","11118"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Bicycle","Students at school or college aged 19 years and over","Number","7646"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Bus, minibus or coach","All persons","Number","341299"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Bus, minibus or coach","Population aged 15 years and over at work","Number","107315"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","75993"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","120555"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","37436"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Train, DART or LUAS","All persons","Number","45976"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Train, DART or LUAS","Population aged 15 years and over at work","Number","33066"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","469"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","4347"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","8094"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Motorcycle or scooter","All persons","Number","20250"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","17329"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Population Usually Resident in the State at Each Census Since 1986","2002","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","1372"
