"Statistic","CensusYear","Sex","County of Usual Residence","Travelling Time","At Work School or College","UNIT","VALUE"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","< ¼ hour","Population aged 15 years and over at work","Number","6913"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","< ¼ hour","Children at school aged between 5 and 12 years","Number","8525"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","2477"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","< ¼ hour","Students at school or college aged 19 years and over","Number","324"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","¼ hour - < ½ hour","All persons","Number","13446"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","7944"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","2584"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","2483"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","435"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","½ hour - < ¾ hour","All persons","Number","10575"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","8613"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","501"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","1011"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","450"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","¾ hour - < 1 hour","All persons","Number","5396"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","4706"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","95"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","254"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","341"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","1 hour - < 1½ hours","All persons","Number","6434"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","5415"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","89"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","293"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","637"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","1½ hours and over","All persons","Number","1965"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","1½ hours and over","Population aged 15 years and over at work","Number","1558"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","1½ hours and over","Children at school aged between 5 and 12 years","Number","27"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","99"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","1½ hours and over","Students at school or college aged 19 years and over","Number","281"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","Not stated","All persons","Number","3721"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","Not stated","Population aged 15 years and over at work","Number","2655"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","Not stated","Children at school aged between 5 and 12 years","Number","551"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","Not stated","Students at school or college aged between 13 and 18 years","Number","343"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Meath","Not stated","Students at school or college aged 19 years and over","Number","172"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","Total time travelling","All persons","Number","22516"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","Total time travelling","Population aged 15 years and over at work","Number","13680"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","Total time travelling","Children at school aged between 5 and 12 years","Number","4787"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","Total time travelling","Students at school or college aged between 13 and 18 years","Number","3009"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","Total time travelling","Students at school or college aged 19 years and over","Number","1040"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","< ¼ hour","All persons","Number","9304"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","< ¼ hour","Population aged 15 years and over at work","Number","4143"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","< ¼ hour","Children at school aged between 5 and 12 years","Number","3479"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","1417"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","< ¼ hour","Students at school or college aged 19 years and over","Number","265"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","¼ hour - < ½ hour","All persons","Number","5298"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","3197"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","869"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","992"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","240"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","½ hour - < ¾ hour","All persons","Number","2921"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","2211"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","164"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","373"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","173"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","¾ hour - < 1 hour","All persons","Number","961"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","788"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","26"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","58"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","89"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","1 hour - < 1½ hours","All persons","Number","1478"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","1314"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","17"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","40"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","107"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","1½ hours and over","All persons","Number","881"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","1½ hours and over","Population aged 15 years and over at work","Number","756"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","1½ hours and over","Children at school aged between 5 and 12 years","Number","9"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","19"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","1½ hours and over","Students at school or college aged 19 years and over","Number","97"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","Not stated","All persons","Number","1673"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","Not stated","Population aged 15 years and over at work","Number","1271"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","Not stated","Children at school aged between 5 and 12 years","Number","223"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","Not stated","Students at school or college aged between 13 and 18 years","Number","110"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Offaly","Not stated","Students at school or college aged 19 years and over","Number","69"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","Total time travelling","All persons","Number","25736"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","Total time travelling","Population aged 15 years and over at work","Number","15758"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","Total time travelling","Children at school aged between 5 and 12 years","Number","5128"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","Total time travelling","Students at school or college aged between 13 and 18 years","Number","3339"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","Total time travelling","Students at school or college aged 19 years and over","Number","1511"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","< ¼ hour","All persons","Number","10220"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","< ¼ hour","Population aged 15 years and over at work","Number","4900"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","< ¼ hour","Children at school aged between 5 and 12 years","Number","3534"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","1239"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","< ¼ hour","Students at school or college aged 19 years and over","Number","547"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","¼ hour - < ½ hour","All persons","Number","6707"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","3902"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1090"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","1294"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","421"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","½ hour - < ¾ hour","All persons","Number","2874"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","2073"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","179"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","469"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","153"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","¾ hour - < 1 hour","All persons","Number","1122"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","915"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","33"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","88"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","86"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","1 hour - < 1½ hours","All persons","Number","1946"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","1748"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","23"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","60"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","115"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","1½ hours and over","All persons","Number","1021"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","1½ hours and over","Population aged 15 years and over at work","Number","907"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","1½ hours and over","Children at school aged between 5 and 12 years","Number","3"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","16"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","1½ hours and over","Students at school or college aged 19 years and over","Number","95"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","Not stated","All persons","Number","1846"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","Not stated","Population aged 15 years and over at work","Number","1313"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","Not stated","Children at school aged between 5 and 12 years","Number","266"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","Not stated","Students at school or college aged between 13 and 18 years","Number","173"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Westmeath","Not stated","Students at school or college aged 19 years and over","Number","94"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","Total time travelling","All persons","Number","40145"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","Total time travelling","Population aged 15 years and over at work","Number","24071"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","Total time travelling","Children at school aged between 5 and 12 years","Number","8877"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","Total time travelling","Students at school or college aged between 13 and 18 years","Number","5444"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","Total time travelling","Students at school or college aged 19 years and over","Number","1753"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","< ¼ hour","All persons","Number","16764"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","< ¼ hour","Population aged 15 years and over at work","Number","7856"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","< ¼ hour","Children at school aged between 5 and 12 years","Number","6411"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","1994"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","< ¼ hour","Students at school or college aged 19 years and over","Number","503"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","¼ hour - < ½ hour","All persons","Number","10305"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","6109"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1652"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","2096"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","448"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","½ hour - < ¾ hour","All persons","Number","5038"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","3598"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","306"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","865"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","269"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","¾ hour - < 1 hour","All persons","Number","1431"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","1141"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","59"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","138"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","93"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","1 hour - < 1½ hours","All persons","Number","2179"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","1857"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","25"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","118"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","179"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","1½ hours and over","All persons","Number","1648"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","1½ hours and over","Population aged 15 years and over at work","Number","1456"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","1½ hours and over","Children at school aged between 5 and 12 years","Number","16"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","28"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","1½ hours and over","Students at school or college aged 19 years and over","Number","148"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","Not stated","All persons","Number","2780"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","Not stated","Population aged 15 years and over at work","Number","2054"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","Not stated","Children at school aged between 5 and 12 years","Number","408"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","Not stated","Students at school or college aged between 13 and 18 years","Number","205"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wexford","Not stated","Students at school or college aged 19 years and over","Number","113"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","Total time travelling","All persons","Number","41846"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","Total time travelling","Population aged 15 years and over at work","Number","25962"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","Total time travelling","Children at school aged between 5 and 12 years","Number","8147"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","Total time travelling","Students at school or college aged between 13 and 18 years","Number","5277"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","Total time travelling","Students at school or college aged 19 years and over","Number","2460"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","< ¼ hour","All persons","Number","12779"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","< ¼ hour","Population aged 15 years and over at work","Number","5296"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","< ¼ hour","Children at school aged between 5 and 12 years","Number","5288"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","1919"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","< ¼ hour","Students at school or college aged 19 years and over","Number","276"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","¼ hour - < ½ hour","All persons","Number","9258"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","5258"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1932"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","1690"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","378"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","½ hour - < ¾ hour","All persons","Number","7450"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","5731"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","440"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","855"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","424"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","¾ hour - < 1 hour","All persons","Number","3707"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","¾ hour - < 1 hour","Population aged 15 years and over at work","Number","2975"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","¾ hour - < 1 hour","Children at school aged between 5 and 12 years","Number","94"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","¾ hour - < 1 hour","Students at school or college aged between 13 and 18 years","Number","310"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","¾ hour - < 1 hour","Students at school or college aged 19 years and over","Number","328"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","1 hour - < 1½ hours","All persons","Number","4842"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","1 hour - < 1½ hours","Population aged 15 years and over at work","Number","3881"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","1 hour - < 1½ hours","Children at school aged between 5 and 12 years","Number","81"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","1 hour - < 1½ hours","Students at school or college aged between 13 and 18 years","Number","243"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","1 hour - < 1½ hours","Students at school or college aged 19 years and over","Number","637"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","1½ hours and over","All persons","Number","1417"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","1½ hours and over","Population aged 15 years and over at work","Number","1057"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","1½ hours and over","Children at school aged between 5 and 12 years","Number","24"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","1½ hours and over","Students at school or college aged between 13 and 18 years","Number","60"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","1½ hours and over","Students at school or college aged 19 years and over","Number","276"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","Not stated","All persons","Number","2393"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","Not stated","Population aged 15 years and over at work","Number","1764"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","Not stated","Children at school aged between 5 and 12 years","Number","288"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","Not stated","Students at school or college aged between 13 and 18 years","Number","200"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Wicklow","Not stated","Students at school or college aged 19 years and over","Number","141"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","Total time travelling","All persons","Number","35334"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","Total time travelling","Population aged 15 years and over at work","Number","21811"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","Total time travelling","Children at school aged between 5 and 12 years","Number","6882"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","Total time travelling","Students at school or college aged between 13 and 18 years","Number","4549"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","Total time travelling","Students at school or college aged 19 years and over","Number","2092"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","< ¼ hour","All persons","Number","13936"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","< ¼ hour","Population aged 15 years and over at work","Number","6367"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","< ¼ hour","Children at school aged between 5 and 12 years","Number","5045"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","< ¼ hour","Students at school or college aged between 13 and 18 years","Number","1935"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","< ¼ hour","Students at school or college aged 19 years and over","Number","589"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","¼ hour - < ½ hour","All persons","Number","9822"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","¼ hour - < ½ hour","Population aged 15 years and over at work","Number","6359"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","¼ hour - < ½ hour","Children at school aged between 5 and 12 years","Number","1232"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","¼ hour - < ½ hour","Students at school or college aged between 13 and 18 years","Number","1621"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","¼ hour - < ½ hour","Students at school or college aged 19 years and over","Number","610"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","½ hour - < ¾ hour","All persons","Number","5521"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","½ hour - < ¾ hour","Population aged 15 years and over at work","Number","4277"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","½ hour - < ¾ hour","Children at school aged between 5 and 12 years","Number","217"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","½ hour - < ¾ hour","Students at school or college aged between 13 and 18 years","Number","616"
"Population Usually Resident and Present in the State 2011 to 2016","2011","Male","Clare","½ hour - < ¾ hour","Students at school or college aged 19 years and over","Number","411"
